FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.183431952662721909e-03
0.000000000000000000e+00,1.775147928994082885e-02
3.944773175542406183e-04,1.775147928994082885e-02
1.183431952662721909e-03,1.775147928994082885e-02
1.183431952662721909e-03,2.485207100591715901e-02
1.577909270216962473e-03,2.485207100591715901e-02
1.577909270216962473e-03,2.603550295857988070e-02
1.972386587771203254e-03,2.603550295857988070e-02
1.972386587771203254e-03,2.958579881656804578e-02
2.366863905325443818e-03,2.958579881656804578e-02
2.366863905325443818e-03,3.786982248520710109e-02
2.761341222879684382e-03,3.786982248520710109e-02
2.761341222879684382e-03,4.023668639053254448e-02
4.339250493096647072e-03,4.023668639053254448e-02
4.339250493096647072e-03,4.378698224852071302e-02
4.733727810650887637e-03,4.378698224852071302e-02
4.733727810650887637e-03,4.615384615384615641e-02
5.128205128205128201e-03,4.615384615384615641e-02
5.128205128205128201e-03,5.088757396449704318e-02
5.917159763313609329e-03,5.088757396449704318e-02
5.917159763313609329e-03,5.443786982248520478e-02
6.311637080867849893e-03,5.443786982248520478e-02
6.311637080867849893e-03,5.562130177514792995e-02
6.706114398422090457e-03,5.562130177514792995e-02
6.706114398422090457e-03,5.798816568047337333e-02
7.100591715976331021e-03,5.798816568047337333e-02
7.100591715976331021e-03,6.035502958579881672e-02
7.495069033530571585e-03,6.035502958579881672e-02
7.495069033530571585e-03,6.508875739644970349e-02
7.889546351084813017e-03,6.508875739644970349e-02
7.889546351084813017e-03,6.627218934911242865e-02
8.678500986193294145e-03,6.627218934911242865e-02
8.678500986193294145e-03,6.745562130177515381e-02
1.025641025641025640e-02,6.745562130177515381e-02
1.025641025641025640e-02,6.863905325443786509e-02
1.065088757396449697e-02,6.863905325443786509e-02
1.065088757396449697e-02,7.455621301775147702e-02
1.104536489151873753e-02,7.455621301775147702e-02
1.104536489151873753e-02,7.573964497041420219e-02
1.143984220907297809e-02,7.573964497041420219e-02
1.143984220907297809e-02,7.810650887573963863e-02
1.183431952662721866e-02,7.810650887573963863e-02
1.183431952662721866e-02,7.928994082840236379e-02
1.222879684418145922e-02,7.928994082840236379e-02
1.222879684418145922e-02,8.520710059171597572e-02
1.262327416173569979e-02,8.520710059171597572e-02
1.262327416173569979e-02,8.875739644970413733e-02
1.301775147928994035e-02,8.875739644970413733e-02
1.301775147928994035e-02,8.994082840236686249e-02
1.341222879684418091e-02,8.994082840236686249e-02
1.341222879684418091e-02,9.112426035502958765e-02
1.380670611439842148e-02,9.112426035502958765e-02
1.380670611439842148e-02,9.585798816568047442e-02
1.420118343195266204e-02,9.585798816568047442e-02
1.420118343195266204e-02,9.822485207100591087e-02
1.459566074950690261e-02,9.822485207100591087e-02
1.459566074950690261e-02,1.076923076923076983e-01
1.499013806706114317e-02,1.076923076923076983e-01
1.499013806706114317e-02,1.088757396449704096e-01
1.656804733727810716e-02,1.088757396449704096e-01
1.656804733727810716e-02,1.112426035502958599e-01
1.696252465483234773e-02,1.112426035502958599e-01
1.696252465483234773e-02,1.136094674556212963e-01
1.735700197238658829e-02,1.136094674556212963e-01
1.735700197238658829e-02,1.147928994082840215e-01
1.775147928994082885e-02,1.147928994082840215e-01
1.775147928994082885e-02,1.230769230769230838e-01
1.932938856015779111e-02,1.230769230769230838e-01
1.932938856015779111e-02,1.242603550295857950e-01
2.090729783037475337e-02,1.242603550295857950e-01
2.090729783037475337e-02,1.278106508875739566e-01
2.169625246548323450e-02,1.278106508875739566e-01
2.169625246548323450e-02,1.301775147928994070e-01
2.209072978303747506e-02,1.301775147928994070e-01
2.209072978303747506e-02,1.313609467455621183e-01
2.248520710059171562e-02,1.313609467455621183e-01
2.248520710059171562e-02,1.349112426035503076e-01
2.287968441814595619e-02,1.349112426035503076e-01
2.287968441814595619e-02,1.360946745562130189e-01
2.366863905325443732e-02,1.360946745562130189e-01
2.366863905325443732e-02,1.384615384615384692e-01
2.406311637080867788e-02,1.384615384615384692e-01
2.406311637080867788e-02,1.396449704142011805e-01
2.445759368836291844e-02,1.396449704142011805e-01
2.445759368836291844e-02,1.408284023668638918e-01
2.485207100591715901e-02,1.408284023668638918e-01
2.485207100591715901e-02,1.420118343195266308e-01
2.524654832347139957e-02,1.420118343195266308e-01
2.524654832347139957e-02,1.431952662721893421e-01
2.642998027613412126e-02,1.431952662721893421e-01
2.642998027613412126e-02,1.443786982248520812e-01
2.840236686390532408e-02,1.443786982248520812e-01
2.840236686390532408e-02,1.455621301775147924e-01
2.879684418145956465e-02,1.455621301775147924e-01
2.879684418145956465e-02,1.467455621301775037e-01
2.919132149901380521e-02,1.467455621301775037e-01
2.919132149901380521e-02,1.502958579881656931e-01
2.998027613412228634e-02,1.502958579881656931e-01
2.998027613412228634e-02,1.514792899408284044e-01
3.037475345167652691e-02,1.514792899408284044e-01
3.037475345167652691e-02,1.526627218934911157e-01
3.116370808678501150e-02,1.526627218934911157e-01
3.116370808678501150e-02,1.538461538461538547e-01
3.155818540433925207e-02,1.538461538461538547e-01
3.155818540433925207e-02,1.562130177514792773e-01
3.195266272189348916e-02,1.562130177514792773e-01
3.195266272189348916e-02,1.573964497041420163e-01
3.274161735700197029e-02,1.573964497041420163e-01
3.274161735700197029e-02,1.585798816568047276e-01
3.353057199211045142e-02,1.585798816568047276e-01
3.353057199211045142e-02,1.656804733727810786e-01
3.589743589743589480e-02,1.656804733727810786e-01
3.589743589743589480e-02,1.668639053254437898e-01
3.905325443786981932e-02,1.668639053254437898e-01
3.905325443786981932e-02,1.680473372781065011e-01
4.063116370808678157e-02,1.680473372781065011e-01
4.063116370808678157e-02,1.704142011834319514e-01
4.142011834319526964e-02,1.704142011834319514e-01
4.142011834319526964e-02,1.715976331360946627e-01
4.181459566074950673e-02,1.715976331360946627e-01
4.181459566074950673e-02,1.751479289940828521e-01
4.220907297830375077e-02,1.751479289940828521e-01
4.220907297830375077e-02,1.810650887573964363e-01
4.497041420118343125e-02,1.810650887573964363e-01
4.497041420118343125e-02,1.822485207100591753e-01
4.615384615384615641e-02,1.822485207100591753e-01
4.615384615384615641e-02,1.846153846153846256e-01
4.654832347140039350e-02,1.846153846153846256e-01
4.654832347140039350e-02,1.857988165680473369e-01
4.733727810650887463e-02,1.857988165680473369e-01
4.733727810650887463e-02,1.893491124260354985e-01
4.773175542406311866e-02,1.893491124260354985e-01
4.773175542406311866e-02,1.917159763313609488e-01
4.891518737672583689e-02,1.917159763313609488e-01
4.891518737672583689e-02,1.928994082840236601e-01
5.049309664694279914e-02,1.928994082840236601e-01
5.049309664694279914e-02,1.964497041420118217e-01
5.088757396449704318e-02,1.964497041420118217e-01
5.088757396449704318e-02,1.976331360946745608e-01
5.167652859960552431e-02,1.976331360946745608e-01
5.167652859960552431e-02,2.000000000000000111e-01
5.207100591715976140e-02,2.000000000000000111e-01
5.207100591715976140e-02,2.011834319526627224e-01
5.246548323471400543e-02,2.011834319526627224e-01
5.246548323471400543e-02,2.035502958579881727e-01
