FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.521126760563380361e-03
0.000000000000000000e+00,7.042253521126760722e-03
6.540222367560497496e-04,7.042253521126760722e-03
6.540222367560497496e-04,1.408450704225352144e-02
1.308044473512099499e-03,1.408450704225352144e-02
1.308044473512099499e-03,1.760563380281690224e-02
3.270111183780248423e-03,1.760563380281690224e-02
3.270111183780248423e-03,2.112676056338028130e-02
4.578155657292347705e-03,2.112676056338028130e-02
4.578155657292347705e-03,2.464788732394366036e-02
8.502289077828645986e-03,2.464788732394366036e-02
8.502289077828645986e-03,2.816901408450704289e-02
1.111837802485284542e-02,2.816901408450704289e-02
1.111837802485284542e-02,3.521126760563380448e-02
1.308044473512099369e-02,3.521126760563380448e-02
1.308044473512099369e-02,3.873239436619718007e-02
1.373446697187704311e-02,3.873239436619718007e-02
1.373446697187704311e-02,4.929577464788732072e-02
1.896664486592544024e-02,4.929577464788732072e-02
1.896664486592544024e-02,6.338028169014084390e-02
1.962066710268148967e-02,6.338028169014084390e-02
1.962066710268148967e-02,7.042253521126760896e-02
2.027468933943754256e-02,7.042253521126760896e-02
2.027468933943754256e-02,7.746478873239436014e-02
2.092871157619359199e-02,7.746478873239436014e-02
2.092871157619359199e-02,8.098591549295774961e-02
2.158273381294964141e-02,8.098591549295774961e-02
2.158273381294964141e-02,8.450704225352112520e-02
2.485284499672988853e-02,8.450704225352112520e-02
2.485284499672988853e-02,8.802816901408450079e-02
2.550686723348593796e-02,8.802816901408450079e-02
2.550686723348593796e-02,9.154929577464789026e-02
2.616088947024198738e-02,9.154929577464789026e-02
2.616088947024198738e-02,9.507042253521126585e-02
2.681491170699803681e-02,9.507042253521126585e-02
2.681491170699803681e-02,1.021126760563380309e-01
2.812295618051013565e-02,1.021126760563380309e-01
2.812295618051013565e-02,1.056338028169014065e-01
3.073904512753433682e-02,1.056338028169014065e-01
3.073904512753433682e-02,1.091549295774647821e-01
3.270111183780248509e-02,1.091549295774647821e-01
3.270111183780248509e-02,1.161971830985915471e-01
3.400915631131458394e-02,1.161971830985915471e-01
3.400915631131458394e-02,1.197183098591549227e-01
3.662524525833878164e-02,1.197183098591549227e-01
3.662524525833878164e-02,1.232394366197183122e-01
3.858731196860692991e-02,1.232394366197183122e-01
3.858731196860692991e-02,1.267605633802816878e-01
3.989535644211902876e-02,1.267605633802816878e-01
4.120340091563113455e-02,1.267605633802816878e-01
4.120340091563113455e-02,1.302816901408450634e-01
4.708960104643557937e-02,1.302816901408450634e-01
4.708960104643557937e-02,1.338028169014084390e-01
4.905166775670372764e-02,1.338028169014084390e-01
4.905166775670372764e-02,1.373239436619718423e-01
5.624591236102027131e-02,1.373239436619718423e-01
5.624591236102027131e-02,1.408450704225352179e-01
6.474820143884892076e-02,1.408450704225352179e-01
6.474820143884892076e-02,1.443661971830985935e-01
6.736429038587311846e-02,1.443661971830985935e-01
6.736429038587311846e-02,1.478873239436619691e-01
7.063440156965336558e-02,1.478873239436619691e-01
7.063440156965336558e-02,1.514084507042253447e-01
7.128842380640941501e-02,1.514084507042253447e-01
7.128842380640941501e-02,1.549295774647887203e-01
7.194244604316546443e-02,1.549295774647887203e-01
7.194244604316546443e-02,1.584507042253521236e-01
7.455853499018966213e-02,1.584507042253521236e-01
7.455853499018966213e-02,1.619718309859154992e-01
8.567691301504251622e-02,1.619718309859154992e-01
8.567691301504251622e-02,1.654929577464788748e-01
8.829300196206671392e-02,1.654929577464788748e-01
8.829300196206671392e-02,1.690140845070422504e-01
9.156311314584696104e-02,1.690140845070422504e-01
9.156311314584696104e-02,1.760563380281690016e-01
9.287115761935905989e-02,1.760563380281690016e-01
9.287115761935905989e-02,1.795774647887324049e-01
9.352517985611510931e-02,1.795774647887324049e-01
9.352517985611510931e-02,1.866197183098591561e-01
9.875735775016350471e-02,1.866197183098591561e-01
9.875735775016350471e-02,1.901408450704225317e-01
1.033355134074558507e-01,1.901408450704225317e-01
1.033355134074558507e-01,1.936619718309859073e-01
1.052975801177239989e-01,1.936619718309859073e-01
1.052975801177239989e-01,1.971830985915492829e-01
1.059516023544800484e-01,1.971830985915492829e-01
1.059516023544800484e-01,2.007042253521126862e-01
1.066056245912360978e-01,2.007042253521126862e-01
1.066056245912360978e-01,2.147887323943661886e-01
1.124918247220405426e-01,2.147887323943661886e-01
1.124918247220405426e-01,2.183098591549295642e-01
1.151079136690647542e-01,2.183098591549295642e-01
1.151079136690647542e-01,2.218309859154929675e-01
1.164159581425768530e-01,2.218309859154929675e-01
1.164159581425768530e-01,2.288732394366197187e-01
1.170699803793329025e-01,2.288732394366197187e-01
1.170699803793329025e-01,2.323943661971830943e-01
1.209941137998691990e-01,2.323943661971830943e-01
1.209941137998691990e-01,2.359154929577464699e-01
1.249182472204054956e-01,2.359154929577464699e-01
1.249182472204054956e-01,2.394366197183098455e-01
1.288423806409417782e-01,2.394366197183098455e-01
1.288423806409417782e-01,2.464788732394366244e-01
1.294964028776978415e-01,2.464788732394366244e-01
1.294964028776978415e-01,2.500000000000000000e-01
1.308044473512099404e-01,2.500000000000000000e-01
1.308044473512099404e-01,2.570422535211267512e-01
1.334205362982341381e-01,2.570422535211267512e-01
1.334205362982341381e-01,2.605633802816901268e-01
1.347285807717462369e-01,2.605633802816901268e-01
1.347285807717462369e-01,2.640845070422535024e-01
1.373446697187704346e-01,2.640845070422535024e-01
1.373446697187704346e-01,2.676056338028168780e-01
1.386527141922825335e-01,2.676056338028168780e-01
1.386527141922825335e-01,2.746478873239436846e-01
1.399607586657946323e-01,2.746478873239436846e-01
1.399607586657946323e-01,2.781690140845070602e-01
1.412688031393067312e-01,2.781690140845070602e-01
1.412688031393067312e-01,2.816901408450704358e-01
1.425768476128188300e-01,2.816901408450704358e-01
1.425768476128188300e-01,2.852112676056338114e-01
1.432308698495748933e-01,2.852112676056338114e-01
1.432308698495748933e-01,2.887323943661971870e-01
1.471550032701111899e-01,2.887323943661971870e-01
1.471550032701111899e-01,2.922535211267605626e-01
1.510791366906474864e-01,2.922535211267605626e-01
1.510791366906474864e-01,2.957746478873239382e-01
1.523871811641595853e-01,2.957746478873239382e-01
1.523871811641595853e-01,3.063380281690140650e-01
1.536952256376716841e-01,3.063380281690140650e-01
1.536952256376716841e-01,3.133802816901408717e-01
1.569653368214519173e-01,3.133802816901408717e-01
1.569653368214519173e-01,3.169014084507042472e-01
1.648136036625245382e-01,3.169014084507042472e-01
1.648136036625245382e-01,3.204225352112676228e-01
1.680837148463047714e-01,3.204225352112676228e-01
1.680837148463047714e-01,3.274647887323943740e-01
1.693917593198168703e-01,3.274647887323943740e-01
1.706998037933289691e-01,3.274647887323943740e-01
1.713538260300850324e-01,3.274647887323943740e-01
1.713538260300850324e-01,3.309859154929577496e-01
1.720078482668410680e-01,3.309859154929577496e-01
1.720078482668410680e-01,3.345070422535211252e-01
1.726618705035971313e-01,3.345070422535211252e-01
1.726618705035971313e-01,3.556338028169014343e-01
1.746239372138652657e-01,3.556338028169014343e-01
1.746239372138652657e-01,3.591549295774648098e-01
1.759319816873773645e-01,3.591549295774648098e-01
1.759319816873773645e-01,3.626760563380281854e-01
1.792020928711576255e-01,3.626760563380281854e-01
1.792020928711576255e-01,3.661971830985915610e-01
1.877043819489862542e-01,3.661971830985915610e-01
1.877043819489862542e-01,3.697183098591549366e-01
1.883584041857423175e-01,3.697183098591549366e-01
1.883584041857423175e-01,3.732394366197183122e-01
1.909744931327665152e-01,3.732394366197183122e-01
1.909744931327665152e-01,3.767605633802816878e-01
1.916285153695225507e-01,3.767605633802816878e-01
1.916285153695225507e-01,3.802816901408450634e-01
1.935905820797907129e-01,3.802816901408450634e-01
1.935905820797907129e-01,3.838028169014084390e-01
1.962066710268149106e-01,3.838028169014084390e-01
1.962066710268149106e-01,3.873239436619718146e-01
1.975147155003270094e-01,3.873239436619718146e-01
2.034009156311314681e-01,3.873239436619718146e-01
2.034009156311314681e-01,3.978873239436619969e-01
2.047089601046435670e-01,3.978873239436619969e-01
2.047089601046435670e-01,4.014084507042253724e-01
2.053629823413996025e-01,4.014084507042253724e-01
2.053629823413996025e-01,4.084507042253521236e-01
2.073250490516677647e-01,4.084507042253521236e-01
2.073250490516677647e-01,4.190140845070422504e-01
2.092871157619358990e-01,4.190140845070422504e-01
2.092871157619358990e-01,4.225352112676056260e-01
2.099411379986919624e-01,4.225352112676056260e-01
2.099411379986919624e-01,4.260563380281690016e-01
2.145192936559842944e-01,4.260563380281690016e-01
2.145192936559842944e-01,4.295774647887323772e-01
2.151733158927403577e-01,4.295774647887323772e-01
2.151733158927403577e-01,4.330985915492957528e-01
2.158273381294963933e-01,4.330985915492957528e-01
2.158273381294963933e-01,4.366197183098591283e-01
2.197514715500326898e-01,4.366197183098591283e-01
2.197514715500326898e-01,4.401408450704225594e-01
2.210595160235447887e-01,4.401408450704225594e-01
2.210595160235447887e-01,4.436619718309859350e-01
2.217135382603008520e-01,4.436619718309859350e-01
2.243296272073250497e-01,4.436619718309859350e-01
