FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.831501831501831500e-03
0.000000000000000000e+00,9.157509157509157935e-03
6.105006105006105001e-04,9.157509157509157935e-03
6.105006105006105001e-04,1.648351648351648394e-02
1.221001221001221000e-03,1.648351648351648394e-02
1.221001221001221000e-03,2.014652014652014780e-02
1.831501831501831500e-03,2.014652014652014780e-02
1.831501831501831500e-03,2.197802197802197974e-02
3.052503052503052500e-03,2.197802197802197974e-02
3.052503052503052500e-03,2.380952380952380820e-02
3.663003663003663000e-03,2.380952380952380820e-02
3.663003663003663000e-03,2.564102564102564014e-02
4.273504273504273934e-03,2.564102564102564014e-02
4.273504273504273934e-03,2.930402930402930400e-02
5.494505494505494934e-03,2.930402930402930400e-02
5.494505494505494934e-03,3.113553113553113594e-02
8.547008547008547868e-03,3.113553113553113594e-02
8.547008547008547868e-03,3.296703296703296787e-02
9.157509157509157935e-03,3.296703296703296787e-02
9.157509157509157935e-03,3.846153846153846367e-02
1.098901098901098987e-02,3.846153846153846367e-02
1.098901098901098987e-02,4.212454212454212754e-02
1.221001221001221000e-02,4.212454212454212754e-02
1.221001221001221000e-02,4.395604395604395948e-02
1.282051282051282007e-02,4.395604395604395948e-02
1.282051282051282007e-02,4.761904761904761640e-02
1.343101343101343187e-02,4.761904761904761640e-02
1.343101343101343187e-02,4.945054945054944834e-02
1.465201465201465200e-02,4.945054945054944834e-02
1.465201465201465200e-02,6.593406593406593574e-02
1.526251526251526207e-02,6.593406593406593574e-02
1.526251526251526207e-02,6.959706959706959961e-02
1.831501831501831587e-02,6.959706959706959961e-02
1.831501831501831587e-02,7.326007326007326348e-02
1.892551892551892420e-02,7.326007326007326348e-02
1.892551892551892420e-02,8.241758241758241621e-02
1.953601953601953600e-02,8.241758241758241621e-02
1.953601953601953600e-02,8.424908424908425508e-02
2.136752136752136794e-02,8.424908424908425508e-02
2.136752136752136794e-02,8.608058608058608008e-02
2.197802197802197974e-02,8.608058608058608008e-02
2.197802197802197974e-02,8.791208791208791895e-02
2.258852258852258807e-02,8.791208791208791895e-02
2.258852258852258807e-02,9.340659340659340781e-02
2.380952380952380820e-02,9.340659340659340781e-02
2.380952380952380820e-02,9.523809523809523281e-02
2.503052503052503180e-02,9.523809523809523281e-02
2.503052503052503180e-02,9.706959706959707168e-02
2.625152625152625194e-02,9.706959706959707168e-02
2.625152625152625194e-02,9.890109890109889668e-02
2.808302808302808387e-02,9.890109890109889668e-02
2.808302808302808387e-02,1.043956043956043994e-01
2.869352869352869220e-02,1.043956043956043994e-01
2.869352869352869220e-02,1.062271062271062244e-01
3.174603174603174427e-02,1.062271062271062244e-01
3.174603174603174427e-02,1.080586080586080633e-01
3.296703296703296787e-02,1.080586080586080633e-01
3.296703296703296787e-02,1.153846153846153910e-01
3.357753357753357620e-02,1.153846153846153910e-01
3.357753357753357620e-02,1.300366300366300465e-01
3.785103785103784840e-02,1.300366300366300465e-01
3.785103785103784840e-02,1.318681318681318715e-01
3.907203907203907201e-02,1.318681318681318715e-01
3.907203907203907201e-02,1.336996336996336965e-01
4.029304029304029561e-02,1.336996336996336965e-01
4.029304029304029561e-02,1.355311355311355215e-01
4.151404151404151227e-02,1.355311355311355215e-01
4.151404151404151227e-02,1.410256410256410242e-01
4.639804639804639974e-02,1.410256410256410242e-01
4.639804639804639974e-02,1.446886446886447020e-01
4.945054945054944834e-02,1.446886446886447020e-01
4.945054945054944834e-02,1.483516483516483520e-01
5.067155067155067194e-02,1.483516483516483520e-01
5.067155067155067194e-02,1.501831501831501769e-01
5.128205128205128027e-02,1.501831501831501769e-01
5.128205128205128027e-02,1.538461538461538547e-01
5.189255189255189554e-02,1.538461538461538547e-01
5.189255189255189554e-02,1.556776556776556797e-01
5.311355311355311221e-02,1.556776556776556797e-01
5.311355311355311221e-02,1.666666666666666574e-01
5.616605616605616774e-02,1.666666666666666574e-01
5.616605616605616774e-02,1.684981684981685102e-01
5.799755799755799968e-02,1.684981684981685102e-01
5.799755799755799968e-02,1.721611721611721602e-01
5.921855921855921634e-02,1.721611721611721602e-01
5.921855921855921634e-02,1.776556776556776629e-01
5.982905982905983161e-02,1.776556776556776629e-01
5.982905982905983161e-02,1.794871794871794879e-01
6.227106227106227188e-02,1.794871794871794879e-01
6.227106227106227188e-02,1.886446886446886406e-01
6.288156288156288021e-02,1.886446886446886406e-01
6.288156288156288021e-02,1.904761904761904656e-01
6.410256410256409687e-02,1.904761904761904656e-01
6.410256410256409687e-02,1.923076923076923184e-01
6.471306471306471908e-02,1.923076923076923184e-01
6.471306471306471908e-02,1.941391941391941434e-01
6.593406593406593574e-02,1.941391941391941434e-01
6.593406593406593574e-02,1.959706959706959684e-01
6.776556776556776074e-02,1.959706959706959684e-01
6.776556776556776074e-02,1.978021978021977934e-01
6.837606837606838295e-02,1.978021978021977934e-01
6.837606837606838295e-02,1.996336996336996461e-01
6.959706959706959961e-02,1.996336996336996461e-01
6.959706959706959961e-02,2.014652014652014711e-01
7.081807081807081627e-02,2.014652014652014711e-01
7.081807081807081627e-02,2.069597069597069461e-01
7.142857142857142461e-02,2.069597069597069461e-01
7.142857142857142461e-02,2.106227106227106238e-01
7.387057387057387181e-02,2.106227106227106238e-01
7.387057387057387181e-02,2.124542124542124488e-01
7.448107448107448014e-02,2.124542124542124488e-01
7.448107448107448014e-02,2.179487179487179516e-01
7.997557997557996901e-02,2.179487179487179516e-01
7.997557997557996901e-02,2.197802197802197766e-01
8.119658119658119955e-02,2.197802197802197766e-01
8.119658119658119955e-02,2.252747252747252793e-01
8.180708180708180788e-02,2.252747252747252793e-01
8.180708180708180788e-02,2.271062271062271043e-01
8.241758241758241621e-02,2.271062271062271043e-01
8.241758241758241621e-02,2.289377289377289293e-01
8.424908424908425508e-02,2.289377289377289293e-01
8.424908424908425508e-02,2.307692307692307820e-01
8.608058608058608008e-02,2.307692307692307820e-01
8.608058608058608008e-02,2.326007326007326070e-01
8.669108669108668841e-02,2.326007326007326070e-01
8.669108669108668841e-02,2.344322344322344320e-01
8.974358974358974395e-02,2.344322344322344320e-01
8.974358974358974395e-02,2.362637362637362570e-01
9.218559218559219115e-02,2.362637362637362570e-01
9.218559218559219115e-02,2.380952380952380820e-01
9.340659340659340781e-02,2.380952380952380820e-01
9.340659340659340781e-02,2.417582417582417598e-01
9.645909645909646335e-02,2.417582417582417598e-01
9.645909645909646335e-02,2.454212454212454098e-01
9.706959706959707168e-02,2.454212454212454098e-01
9.706959706959707168e-02,2.472527472527472625e-01
1.050061050061050077e-01,2.472527472527472625e-01
1.050061050061050077e-01,2.490842490842490875e-01
1.056166056166056161e-01,2.490842490842490875e-01
1.056166056166056161e-01,2.509157509157509125e-01
1.062271062271062244e-01,2.509157509157509125e-01
1.062271062271062244e-01,2.527472527472527375e-01
1.068376068376068327e-01,2.527472527472527375e-01
1.068376068376068327e-01,2.582417582417582680e-01
1.086691086691086716e-01,2.582417582417582680e-01
1.086691086691086716e-01,2.600732600732600930e-01
1.117216117216117272e-01,2.600732600732600930e-01
1.117216117216117272e-01,2.619047619047619180e-01
1.123321123321123355e-01,2.619047619047619180e-01
1.123321123321123355e-01,2.637362637362637430e-01
