FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
8.183306055646481563e-04,0.000000000000000000e+00
8.183306055646481563e-04,3.623188405797101493e-03
5.728314238952536552e-03,3.623188405797101493e-03
5.728314238952536552e-03,7.246376811594202987e-03
1.063829787234042527e-02,7.246376811594202987e-03
1.063829787234042527e-02,1.449275362318840597e-02
1.554828150572831399e-02,1.449275362318840597e-02
1.554828150572831399e-02,1.811594202898550790e-02
2.045826513911620445e-02,1.811594202898550790e-02
2.045826513911620445e-02,2.173913043478260809e-02
2.291325695581014621e-02,2.173913043478260809e-02
2.291325695581014621e-02,2.536231884057971175e-02
2.373158756137479578e-02,2.536231884057971175e-02
2.373158756137479578e-02,2.898550724637681195e-02
2.454991816693944187e-02,2.898550724637681195e-02
2.454991816693944187e-02,3.985507246376811252e-02
2.945990180032733233e-02,3.985507246376811252e-02
2.945990180032733233e-02,4.710144927536231985e-02
3.191489361702127409e-02,4.710144927536231985e-02
3.191489361702127409e-02,5.072463768115942351e-02
3.273322422258592712e-02,5.072463768115942351e-02
3.273322422258592712e-02,5.434782608695652023e-02
3.518821603927987235e-02,5.434782608695652023e-02
3.518821603927987235e-02,5.797101449275362389e-02
3.764320785597381064e-02,5.797101449275362389e-02
3.764320785597381064e-02,6.159420289855072755e-02
4.009819967266775587e-02,6.159420289855072755e-02
4.009819967266775587e-02,6.884057971014492794e-02
4.337152209492634719e-02,6.884057971014492794e-02
4.337152209492634719e-02,7.246376811594203160e-02
4.418985270049100023e-02,7.246376811594203160e-02
4.418985270049100023e-02,7.608695652173913526e-02
4.828150572831423765e-02,7.608695652173913526e-02
4.828150572831423765e-02,8.333333333333332871e-02
5.646481178396071943e-02,8.333333333333332871e-02
5.646481178396071943e-02,8.695652173913043237e-02
5.728314238952536552e-02,8.695652173913043237e-02
5.728314238952536552e-02,9.782608695652174335e-02
5.810147299509001856e-02,9.782608695652174335e-02
5.810147299509001856e-02,1.014492753623188470e-01
6.219312602291325598e-02,1.014492753623188470e-01
6.219312602291325598e-02,1.050724637681159368e-01
6.301145662847790208e-02,1.050724637681159368e-01
6.301145662847790208e-02,1.086956521739130405e-01
6.628477905073650034e-02,1.086956521739130405e-01
6.628477905073650034e-02,1.123188405797101441e-01
6.873977086743043863e-02,1.123188405797101441e-01
6.873977086743043863e-02,1.159420289855072478e-01
7.119476268412439079e-02,1.159420289855072478e-01
7.119476268412439079e-02,1.231884057971014551e-01
7.937806873977086564e-02,1.231884057971014551e-01
7.937806873977086564e-02,1.268115942028985588e-01
8.019639934533551173e-02,1.268115942028985588e-01
8.019639934533551173e-02,1.340579710144927661e-01
8.428805237315875609e-02,1.340579710144927661e-01
8.428805237315875609e-02,1.376811594202898559e-01
8.510638297872340219e-02,1.376811594202898559e-01
8.510638297872340219e-02,1.413043478260869457e-01
9.247135842880523093e-02,1.413043478260869457e-01
9.247135842880523093e-02,1.485507246376811530e-01
9.492635024549918310e-02,1.485507246376811530e-01
9.492635024549918310e-02,1.521739130434782705e-01
9.574468085106382920e-02,1.521739130434782705e-01
9.574468085106382920e-02,1.594202898550724501e-01
9.819967266775776749e-02,1.594202898550724501e-01
9.819967266775776749e-02,1.666666666666666574e-01
9.983633387888707356e-02,1.666666666666666574e-01
9.983633387888707356e-02,1.702898550724637750e-01
1.022913256955810118e-01,1.702898550724637750e-01
1.022913256955810118e-01,1.811594202898550721e-01
1.039279869067103040e-01,1.811594202898550721e-01
1.072013093289689023e-01,1.811594202898550721e-01
1.072013093289689023e-01,1.884057971014492794e-01
1.178396072013093293e-01,1.884057971014492794e-01
1.178396072013093293e-01,1.920289855072463692e-01
1.235679214402618659e-01,1.920289855072463692e-01
1.235679214402618659e-01,1.956521739130434867e-01
1.252045826513911719e-01,1.956521739130434867e-01
1.252045826513911719e-01,1.992753623188405765e-01
1.301145662847790485e-01,1.992753623188405765e-01
1.301145662847790485e-01,2.065217391304347838e-01
1.309328968903437085e-01,2.065217391304347838e-01
1.309328968903437085e-01,2.101449275362318736e-01
1.317512274959083407e-01,2.101449275362318736e-01
1.317512274959083407e-01,2.137681159420289911e-01
1.366612111292962450e-01,2.137681159420289911e-01
1.366612111292962450e-01,2.210144927536231985e-01
1.382978723404255372e-01,2.210144927536231985e-01
1.382978723404255372e-01,2.246376811594202882e-01
1.407528641571194894e-01,2.246376811594202882e-01
1.407528641571194894e-01,2.282608695652173780e-01
1.423895253682487816e-01,2.282608695652173780e-01
1.423895253682487816e-01,2.318840579710144956e-01
1.432078559738134138e-01,2.318840579710144956e-01
1.432078559738134138e-01,2.355072463768115854e-01
1.448445171849427060e-01,2.355072463768115854e-01
1.448445171849427060e-01,2.391304347826087029e-01
1.464811783960720259e-01,2.391304347826087029e-01
1.481178396072013181e-01,2.391304347826087029e-01
1.489361702127659504e-01,2.391304347826087029e-01
1.489361702127659504e-01,2.427536231884057927e-01
1.505728314238952426e-01,2.427536231884057927e-01
1.505728314238952426e-01,2.500000000000000000e-01
1.513911620294599025e-01,2.500000000000000000e-01
1.513911620294599025e-01,2.536231884057971175e-01
1.530278232405891947e-01,2.536231884057971175e-01
1.530278232405891947e-01,2.572463768115941796e-01
1.571194762684124391e-01,2.572463768115941796e-01
1.571194762684124391e-01,2.608695652173912971e-01
1.636661211129296356e-01,2.608695652173912971e-01
1.636661211129296356e-01,2.644927536231884146e-01
1.661211129296235600e-01,2.644927536231884146e-01
1.661211129296235600e-01,2.681159420289855322e-01
1.669394435351882200e-01,2.681159420289855322e-01
1.669394435351882200e-01,2.789855072463768293e-01
1.718494271685760966e-01,2.789855072463768293e-01
1.718494271685760966e-01,2.898550724637681264e-01
1.726677577741407565e-01,2.898550724637681264e-01
1.726677577741407565e-01,2.934782608695652439e-01
1.751227495908347087e-01,2.934782608695652439e-01
1.751227495908347087e-01,3.043478260869565410e-01
1.800327332242225853e-01,3.043478260869565410e-01
1.800327332242225853e-01,3.079710144927536031e-01
1.833060556464811697e-01,3.079710144927536031e-01
1.833060556464811697e-01,3.152173913043478382e-01
1.849427168576104619e-01,3.152173913043478382e-01
1.849427168576104619e-01,3.188405797101449002e-01
1.939443535188216106e-01,3.188405797101449002e-01
1.939443535188216106e-01,3.224637681159420177e-01
2.160392798690670968e-01,3.224637681159420177e-01
2.160392798690670968e-01,3.260869565217391353e-01
2.168576104746317568e-01,3.260869565217391353e-01
2.168576104746317568e-01,3.333333333333333148e-01
2.184942716857610490e-01,3.333333333333333148e-01
2.266775777414075377e-01,3.333333333333333148e-01
2.266775777414075377e-01,3.369565217391304324e-01
2.274959083469721699e-01,3.369565217391304324e-01
2.274959083469721699e-01,3.405797101449275499e-01
2.291325695581014621e-01,3.405797101449275499e-01
2.291325695581014621e-01,3.442028985507246119e-01
2.332242225859247065e-01,3.442028985507246119e-01
2.332242225859247065e-01,3.478260869565217295e-01
2.381342062193126108e-01,3.478260869565217295e-01
2.381342062193126108e-01,3.514492753623188470e-01
2.397708674304419030e-01,3.514492753623188470e-01
2.397708674304419030e-01,3.586956521739130266e-01
2.405891980360065352e-01,3.586956521739130266e-01
2.405891980360065352e-01,3.623188405797101441e-01
2.463175122749590717e-01,3.623188405797101441e-01
2.463175122749590717e-01,3.659420289855072617e-01
2.479541734860883917e-01,3.659420289855072617e-01
2.479541734860883917e-01,3.695652173913043237e-01
2.487725040916530239e-01,3.695652173913043237e-01
2.487725040916530239e-01,3.731884057971014412e-01
2.504091653027823439e-01,3.731884057971014412e-01
2.504091653027823439e-01,3.768115942028985588e-01
2.512274959083469761e-01,3.768115942028985588e-01
2.512274959083469761e-01,3.804347826086956763e-01
2.594108019639934648e-01,3.804347826086956763e-01
2.594108019639934648e-01,3.840579710144927383e-01
2.675941080196399535e-01,3.840579710144927383e-01
2.675941080196399535e-01,3.876811594202898559e-01
2.708674304418985379e-01,3.876811594202898559e-01
2.708674304418985379e-01,3.949275362318840354e-01
2.733224222585924901e-01,3.949275362318840354e-01
2.733224222585924901e-01,3.985507246376811530e-01
2.741407528641571223e-01,3.985507246376811530e-01
2.741407528641571223e-01,4.021739130434782705e-01
2.749590834697217545e-01,4.021739130434782705e-01
2.749590834697217545e-01,4.057971014492753881e-01
2.798690671031096588e-01,4.057971014492753881e-01
2.798690671031096588e-01,4.094202898550724501e-01
2.815057283142389788e-01,4.094202898550724501e-01
2.815057283142389788e-01,4.202898550724637472e-01
2.823240589198036110e-01,4.202898550724637472e-01
2.823240589198036110e-01,4.311594202898550998e-01
2.847790507364975632e-01,4.311594202898550998e-01
2.847790507364975632e-01,4.420289855072463969e-01
2.855973813420621954e-01,4.420289855072463969e-01
2.855973813420621954e-01,4.456521739130434590e-01
2.929623567921440519e-01,4.456521739130434590e-01
2.929623567921440519e-01,4.492753623188405765e-01
2.945990180032733163e-01,4.492753623188405765e-01
2.945990180032733163e-01,4.528985507246376940e-01
2.962356792144026363e-01,4.528985507246376940e-01
2.962356792144026363e-01,4.565217391304347561e-01
3.052373158756137572e-01,4.565217391304347561e-01
3.052373158756137572e-01,4.601449275362318736e-01
3.265139116202945835e-01,4.601449275362318736e-01
