FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
7.168458781362007162e-04,0.000000000000000000e+00
3.584229390681003581e-03,0.000000000000000000e+00
3.584229390681003581e-03,4.301075268817204297e-03
5.017921146953405014e-03,4.301075268817204297e-03
6.451612903225806446e-03,4.301075268817204297e-03
7.885304659498208746e-03,4.301075268817204297e-03
7.885304659498208746e-03,6.451612903225806446e-03
8.602150537634408595e-03,6.451612903225806446e-03
8.602150537634408595e-03,1.075268817204301161e-02
1.075268817204301161e-02,1.075268817204301161e-02
1.075268817204301161e-02,1.290322580645161289e-02
1.146953405017921146e-02,1.290322580645161289e-02
1.146953405017921146e-02,1.505376344086021591e-02
1.433691756272401432e-02,1.505376344086021591e-02
1.433691756272401432e-02,1.720430107526881719e-02
1.648745519713261734e-02,1.720430107526881719e-02
1.648745519713261734e-02,1.935483870967742021e-02
1.863799283154122036e-02,1.935483870967742021e-02
1.863799283154122036e-02,2.365591397849462277e-02
2.078853046594981990e-02,2.365591397849462277e-02
2.078853046594981990e-02,2.580645161290322578e-02
2.150537634408602322e-02,2.580645161290322578e-02
2.150537634408602322e-02,3.010752688172043182e-02
2.293906810035842292e-02,3.010752688172043182e-02
2.293906810035842292e-02,3.225806451612903136e-02
2.580645161290322578e-02,3.225806451612903136e-02
2.580645161290322578e-02,3.655913978494623739e-02
2.795698924731182880e-02,3.655913978494623739e-02
2.795698924731182880e-02,3.870967741935484041e-02
2.867383512544802865e-02,3.870967741935484041e-02
2.867383512544802865e-02,4.086021505376344343e-02
3.082437275985663166e-02,4.086021505376344343e-02
3.082437275985663166e-02,4.301075268817204644e-02
3.154121863799283498e-02,4.301075268817204644e-02
3.297491039426523468e-02,4.301075268817204644e-02
3.369175627240143106e-02,4.301075268817204644e-02
3.369175627240143106e-02,4.731182795698924554e-02
3.727598566308244071e-02,4.731182795698924554e-02
3.727598566308244071e-02,4.946236559139784855e-02
3.942652329749103679e-02,4.946236559139784855e-02
3.942652329749103679e-02,5.376344086021505458e-02
4.014336917562724011e-02,5.376344086021505458e-02
4.014336917562724011e-02,5.591397849462365760e-02
4.229390681003584312e-02,5.591397849462365760e-02
4.229390681003584312e-02,6.236559139784945971e-02
4.516129032258064252e-02,6.236559139784945971e-02
4.516129032258064252e-02,6.666666666666666574e-02
4.802867383512544885e-02,6.666666666666666574e-02
4.802867383512544885e-02,6.881720430107526876e-02
5.089605734767024825e-02,6.881720430107526876e-02
5.089605734767024825e-02,7.096774193548387177e-02
5.161290322580645157e-02,7.096774193548387177e-02
5.161290322580645157e-02,7.526881720430107781e-02
5.304659498207885127e-02,7.526881720430107781e-02
5.304659498207885127e-02,7.741935483870968082e-02
5.376344086021505458e-02,7.741935483870968082e-02
5.519713261648745428e-02,7.741935483870968082e-02
5.663082437275985398e-02,7.741935483870968082e-02
5.663082437275985398e-02,8.387096774193548987e-02
5.734767025089605730e-02,8.387096774193548987e-02
5.734767025089605730e-02,8.602150537634409289e-02
6.021505376344086363e-02,8.602150537634409289e-02
6.021505376344086363e-02,8.817204301075268202e-02
6.236559139784945971e-02,8.817204301075268202e-02
6.236559139784945971e-02,9.032258064516128504e-02
6.523297491039425910e-02,9.032258064516128504e-02
6.523297491039425910e-02,9.247311827956988806e-02
6.810035842293907238e-02,9.247311827956988806e-02
6.810035842293907238e-02,9.462365591397849107e-02
6.953405017921146514e-02,9.462365591397849107e-02
6.953405017921146514e-02,9.677419354838709409e-02
7.956989247311828384e-02,9.677419354838709409e-02
7.956989247311828384e-02,9.892473118279569710e-02
8.315412186379927961e-02,9.892473118279569710e-02
8.315412186379927961e-02,1.010752688172043001e-01
8.458781362007168625e-02,1.010752688172043001e-01
8.458781362007168625e-02,1.032258064516129031e-01
8.602150537634409289e-02,1.032258064516129031e-01
8.602150537634409289e-02,1.053763440860215062e-01
8.745519713261648564e-02,1.053763440860215062e-01
8.745519713261648564e-02,1.075268817204301092e-01
8.817204301075268202e-02,1.075268817204301092e-01
8.817204301075268202e-02,1.096774193548387122e-01
8.960573476702508866e-02,1.096774193548387122e-01
8.960573476702508866e-02,1.118279569892473152e-01
9.103942652329749530e-02,1.118279569892473152e-01
9.103942652329749530e-02,1.139784946236559182e-01
9.390681003584229469e-02,1.139784946236559182e-01
9.390681003584229469e-02,1.161290322580645212e-01
9.677419354838709409e-02,1.161290322580645212e-01
9.677419354838709409e-02,1.182795698924731242e-01
1.125448028673835116e-01,1.182795698924731242e-01
1.125448028673835116e-01,1.204301075268817273e-01
1.132616487455197080e-01,1.204301075268817273e-01
1.132616487455197080e-01,1.225806451612903164e-01
1.168458781362007176e-01,1.225806451612903164e-01
1.168458781362007176e-01,1.268817204301075363e-01
1.175627240143369140e-01,1.268817204301075363e-01
1.175627240143369140e-01,1.290322580645161255e-01
1.182795698924731242e-01,1.290322580645161255e-01
1.182795698924731242e-01,1.311827956989247423e-01
1.197132616487455170e-01,1.311827956989247423e-01
1.197132616487455170e-01,1.333333333333333315e-01
1.204301075268817273e-01,1.333333333333333315e-01
1.204301075268817273e-01,1.354838709677419484e-01
1.225806451612903164e-01,1.354838709677419484e-01
1.225806451612903164e-01,1.397849462365591267e-01
1.232974910394265267e-01,1.397849462365591267e-01
1.232974910394265267e-01,1.419354838709677435e-01
1.240143369175627230e-01,1.419354838709677435e-01
1.240143369175627230e-01,1.440860215053763327e-01
1.261648745519713399e-01,1.440860215053763327e-01
1.275985663082437327e-01,1.440860215053763327e-01
1.318996415770609387e-01,1.440860215053763327e-01
1.318996415770609387e-01,1.462365591397849496e-01
1.326164874551971351e-01,1.462365591397849496e-01
1.326164874551971351e-01,1.526881720430107447e-01
1.333333333333333315e-01,1.526881720430107447e-01
1.333333333333333315e-01,1.569892473118279508e-01
1.376344086021505375e-01,1.569892473118279508e-01
1.376344086021505375e-01,1.591397849462365677e-01
1.390681003584229303e-01,1.591397849462365677e-01
1.390681003584229303e-01,1.612903225806451568e-01
1.433691756272401363e-01,1.612903225806451568e-01
1.433691756272401363e-01,1.634408602150537737e-01
1.440860215053763327e-01,1.634408602150537737e-01
1.440860215053763327e-01,1.677419354838709797e-01
1.448028673835125568e-01,1.677419354838709797e-01
1.448028673835125568e-01,1.698924731182795689e-01
1.462365591397849496e-01,1.698924731182795689e-01
1.462365591397849496e-01,1.720430107526881858e-01
1.469534050179211460e-01,1.720430107526881858e-01
1.469534050179211460e-01,1.763440860215053640e-01
1.483870967741935387e-01,1.763440860215053640e-01
1.483870967741935387e-01,1.827956989247311870e-01
1.505376344086021556e-01,1.827956989247311870e-01
1.505376344086021556e-01,1.870967741935483930e-01
1.534050179211469411e-01,1.870967741935483930e-01
1.534050179211469411e-01,1.892473118279569821e-01
1.584229390681003713e-01,1.892473118279569821e-01
1.584229390681003713e-01,1.913978494623655990e-01
1.591397849462365677e-01,1.913978494623655990e-01
1.591397849462365677e-01,1.935483870967741882e-01
1.598566308243727641e-01,1.935483870967741882e-01
1.598566308243727641e-01,1.956989247311828051e-01
1.648745519713261665e-01,1.956989247311828051e-01
1.648745519713261665e-01,1.978494623655913942e-01
1.670250896057347556e-01,1.978494623655913942e-01
1.670250896057347556e-01,2.000000000000000111e-01
1.706093189964157653e-01,2.000000000000000111e-01
1.706093189964157653e-01,2.043010752688172171e-01
1.734767025089605785e-01,2.043010752688172171e-01
1.734767025089605785e-01,2.064516129032258063e-01
1.741935483870967749e-01,2.064516129032258063e-01
1.741935483870967749e-01,2.086021505376343954e-01
1.756272401433691677e-01,2.086021505376343954e-01
1.756272401433691677e-01,2.107526881720430123e-01
1.777777777777777846e-01,2.107526881720430123e-01
1.777777777777777846e-01,2.129032258064516014e-01
1.820788530465949906e-01,2.129032258064516014e-01
1.820788530465949906e-01,2.150537634408602183e-01
1.835125448028673834e-01,2.150537634408602183e-01
1.835125448028673834e-01,2.193548387096774244e-01
1.863799283154121966e-01,2.193548387096774244e-01
1.863799283154121966e-01,2.215053763440860135e-01
1.878136200716845894e-01,2.215053763440860135e-01
1.878136200716845894e-01,2.236559139784946304e-01
1.892473118279569821e-01,2.236559139784946304e-01
1.892473118279569821e-01,2.258064516129032195e-01
1.906810035842294027e-01,2.258064516129032195e-01
1.956989247311828051e-01,2.258064516129032195e-01
1.956989247311828051e-01,2.279569892473118364e-01
1.971326164874551978e-01,2.279569892473118364e-01
1.985663082437275906e-01,2.279569892473118364e-01
2.000000000000000111e-01,2.279569892473118364e-01
2.000000000000000111e-01,2.301075268817204256e-01
2.007168458781362075e-01,2.301075268817204256e-01
2.007168458781362075e-01,2.322580645161290425e-01
2.021505376344086002e-01,2.322580645161290425e-01
2.050179211469534135e-01,2.322580645161290425e-01
2.050179211469534135e-01,2.344086021505376316e-01
2.071684587813620027e-01,2.344086021505376316e-01
2.071684587813620027e-01,2.365591397849462485e-01
2.129032258064516014e-01,2.365591397849462485e-01
2.129032258064516014e-01,2.387096774193548376e-01
2.136200716845878256e-01,2.387096774193548376e-01
2.136200716845878256e-01,2.408602150537634545e-01
2.150537634408602183e-01,2.408602150537634545e-01
2.150537634408602183e-01,2.430107526881720437e-01
2.164874551971326111e-01,2.430107526881720437e-01
2.179211469534050316e-01,2.430107526881720437e-01
2.186379928315412280e-01,2.430107526881720437e-01
2.186379928315412280e-01,2.473118279569892497e-01
2.215053763440860135e-01,2.473118279569892497e-01
2.215053763440860135e-01,2.494623655913978388e-01
2.222222222222222099e-01,2.494623655913978388e-01
2.222222222222222099e-01,2.623655913978494847e-01
2.229390681003584340e-01,2.623655913978494847e-01
2.229390681003584340e-01,2.645161290322580738e-01
2.250896057347670232e-01,2.645161290322580738e-01
2.250896057347670232e-01,2.666666666666666630e-01
2.286738351254480328e-01,2.666666666666666630e-01
2.286738351254480328e-01,2.688172043010752521e-01
2.293906810035842292e-01,2.688172043010752521e-01
2.293906810035842292e-01,2.709677419354838968e-01
2.322580645161290425e-01,2.709677419354838968e-01
2.322580645161290425e-01,2.731182795698924859e-01
2.365591397849462485e-01,2.731182795698924859e-01
2.365591397849462485e-01,2.752688172043010750e-01
2.401433691756272304e-01,2.752688172043010750e-01
2.401433691756272304e-01,2.774193548387096642e-01
2.415770609318996509e-01,2.774193548387096642e-01
2.415770609318996509e-01,2.817204301075268980e-01
2.430107526881720437e-01,2.817204301075268980e-01
2.430107526881720437e-01,2.860215053763440762e-01
2.437275985663082400e-01,2.860215053763440762e-01
2.437275985663082400e-01,2.881720430107526654e-01
2.458781362007168569e-01,2.881720430107526654e-01
2.458781362007168569e-01,2.903225806451613100e-01
2.480286738351254461e-01,2.903225806451613100e-01
2.480286738351254461e-01,2.946236559139784883e-01
2.516129032258064280e-01,2.946236559139784883e-01
2.516129032258064280e-01,2.967741935483870774e-01
2.523297491039426799e-01,2.967741935483870774e-01
2.523297491039426799e-01,2.989247311827957221e-01
