FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
1.089324618736383548e-03,0.000000000000000000e+00
3.267973856209150426e-03,0.000000000000000000e+00
3.267973856209150426e-03,3.267973856209150426e-03
6.535947712418300852e-03,3.267973856209150426e-03
6.535947712418300852e-03,6.535947712418300852e-03
8.714596949891068381e-03,6.535947712418300852e-03
8.714596949891068381e-03,9.803921568627450844e-03
9.803921568627450844e-03,9.803921568627450844e-03
9.803921568627450844e-03,1.633986928104575256e-02
1.416122004357298417e-02,1.633986928104575256e-02
1.416122004357298417e-02,1.960784313725490169e-02
2.723311546840958761e-02,1.960784313725490169e-02
2.723311546840958761e-02,2.287581699346405081e-02
4.030501089324618758e-02,2.287581699346405081e-02
4.030501089324618758e-02,2.941176470588235253e-02
4.139433551198257177e-02,2.941176470588235253e-02
4.139433551198257177e-02,3.594771241830065078e-02
4.466230936819172437e-02,3.594771241830065078e-02
4.466230936819172437e-02,3.921568627450980338e-02
4.684095860566448583e-02,3.921568627450980338e-02
4.684095860566448583e-02,4.248366013071895597e-02
4.793028322440087002e-02,4.248366013071895597e-02
4.793028322440087002e-02,4.575163398692810163e-02
5.010893246187363842e-02,4.575163398692810163e-02
5.010893246187363842e-02,4.901960784313725422e-02
5.228758169934640682e-02,4.901960784313725422e-02
5.228758169934640682e-02,5.228758169934640682e-02
5.555555555555555247e-02,5.228758169934640682e-02
5.555555555555555247e-02,5.882352941176470507e-02
5.773420479302832087e-02,5.882352941176470507e-02
5.882352941176470507e-02,5.882352941176470507e-02
5.882352941176470507e-02,6.209150326797385766e-02
6.100217864923747346e-02,6.209150326797385766e-02
6.100217864923747346e-02,6.535947712418301025e-02
6.209150326797385766e-02,6.535947712418301025e-02
6.209150326797385766e-02,6.862745098039216285e-02
6.318082788671024186e-02,6.862745098039216285e-02
6.318082788671024186e-02,7.189542483660130157e-02
6.427015250544662606e-02,7.189542483660130157e-02
6.427015250544662606e-02,7.516339869281045416e-02
6.535947712418301025e-02,7.516339869281045416e-02
6.535947712418301025e-02,7.843137254901960675e-02
6.644880174291939445e-02,7.843137254901960675e-02
6.644880174291939445e-02,8.496732026143791194e-02
6.862745098039216285e-02,8.496732026143791194e-02
6.862745098039216285e-02,8.823529411764706454e-02
6.971677559912854705e-02,8.823529411764706454e-02
6.971677559912854705e-02,9.150326797385620325e-02
8.605664488017429614e-02,9.150326797385620325e-02
