FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.150537634408602149e-03
0.000000000000000000e+00,1.290322580645161289e-02
1.433691756272401432e-03,1.290322580645161289e-02
1.433691756272401432e-03,1.505376344086021591e-02
2.150537634408602149e-03,1.505376344086021591e-02
2.150537634408602149e-03,2.365591397849462277e-02
3.584229390681003581e-03,2.365591397849462277e-02
3.584229390681003581e-03,2.580645161290322578e-02
5.017921146953405014e-03,2.580645161290322578e-02
5.017921146953405014e-03,2.795698924731182880e-02
5.734767025089605730e-03,2.795698924731182880e-02
5.734767025089605730e-03,3.440860215053763438e-02
6.451612903225806446e-03,3.440860215053763438e-02
6.451612903225806446e-03,4.086021505376344343e-02
7.885304659498208746e-03,4.086021505376344343e-02
7.885304659498208746e-03,4.301075268817204644e-02
9.318996415770610178e-03,4.301075268817204644e-02
9.318996415770610178e-03,4.946236559139784855e-02
1.075268817204301161e-02,4.946236559139784855e-02
1.075268817204301161e-02,5.591397849462365760e-02
1.218637992831541304e-02,5.591397849462365760e-02
1.218637992831541304e-02,6.236559139784945971e-02
1.290322580645161289e-02,6.236559139784945971e-02
1.290322580645161289e-02,6.451612903225806273e-02
1.433691756272401432e-02,6.451612903225806273e-02
1.433691756272401432e-02,7.096774193548387177e-02
1.505376344086021591e-02,7.096774193548387177e-02
1.505376344086021591e-02,8.172043010752688685e-02
1.577060931899641749e-02,8.172043010752688685e-02
1.577060931899641749e-02,8.387096774193548987e-02
1.648745519713261734e-02,8.387096774193548987e-02
1.648745519713261734e-02,9.032258064516128504e-02
1.720430107526881719e-02,9.032258064516128504e-02
1.720430107526881719e-02,9.462365591397849107e-02
2.007168458781362005e-02,9.462365591397849107e-02
2.007168458781362005e-02,9.677419354838709409e-02
2.508960573476702594e-02,9.677419354838709409e-02
2.508960573476702594e-02,1.032258064516129031e-01
2.580645161290322578e-02,1.032258064516129031e-01
2.580645161290322578e-02,1.053763440860215062e-01
2.867383512544802865e-02,1.053763440860215062e-01
2.867383512544802865e-02,1.075268817204301092e-01
2.939068100358422850e-02,1.075268817204301092e-01
2.939068100358422850e-02,1.118279569892473152e-01
3.010752688172043182e-02,1.118279569892473152e-01
3.010752688172043182e-02,1.139784946236559182e-01
3.297491039426523468e-02,1.139784946236559182e-01
3.297491039426523468e-02,1.161290322580645212e-01
3.655913978494623739e-02,1.161290322580645212e-01
3.655913978494623739e-02,1.204301075268817273e-01
3.727598566308244071e-02,1.204301075268817273e-01
3.727598566308244071e-02,1.225806451612903164e-01
4.086021505376344343e-02,1.225806451612903164e-01
4.086021505376344343e-02,1.247311827956989194e-01
4.229390681003584312e-02,1.247311827956989194e-01
4.229390681003584312e-02,1.333333333333333315e-01
4.444444444444444614e-02,1.333333333333333315e-01
