FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.267973856209150426e-03
1.089324618736383548e-03,3.267973856209150426e-03
1.089324618736383548e-03,1.307189542483660170e-02
2.178649237472767095e-03,1.307189542483660170e-02
2.178649237472767095e-03,1.960784313725490169e-02
3.267973856209150426e-03,1.960784313725490169e-02
3.267973856209150426e-03,3.594771241830065078e-02
5.446623093681917521e-03,3.594771241830065078e-02
5.446623093681917521e-03,3.921568627450980338e-02
8.714596949891068381e-03,3.921568627450980338e-02
8.714596949891068381e-03,4.248366013071895597e-02
9.803921568627450844e-03,4.248366013071895597e-02
9.803921568627450844e-03,5.882352941176470507e-02
1.089324618736383504e-02,5.882352941176470507e-02
1.089324618736383504e-02,7.516339869281045416e-02
1.198257080610021751e-02,7.516339869281045416e-02
1.198257080610021751e-02,7.843137254901960675e-02
1.307189542483660170e-02,7.843137254901960675e-02
1.307189542483660170e-02,9.477124183006535585e-02
1.416122004357298417e-02,9.477124183006535585e-02
1.416122004357298417e-02,1.013071895424836610e-01
1.525054466230936837e-02,1.013071895424836610e-01
1.525054466230936837e-02,1.111111111111111049e-01
1.742919389978213676e-02,1.111111111111111049e-01
1.742919389978213676e-02,1.143790849673202575e-01
1.851851851851851749e-02,1.143790849673202575e-01
1.851851851851851749e-02,1.176470588235294101e-01
2.287581699346405081e-02,1.176470588235294101e-01
2.287581699346405081e-02,1.209150326797385627e-01
2.505446623093681921e-02,1.209150326797385627e-01
2.723311546840958761e-02,1.209150326797385627e-01
2.723311546840958761e-02,1.241830065359477153e-01
3.159041394335512093e-02,1.241830065359477153e-01
3.159041394335512093e-02,1.274509803921568540e-01
3.376906318082788933e-02,1.274509803921568540e-01
3.376906318082788933e-02,1.372549019607843257e-01
3.485838779956427352e-02,1.372549019607843257e-01
3.485838779956427352e-02,1.405228758169934644e-01
3.703703703703703498e-02,1.405228758169934644e-01
3.703703703703703498e-02,1.437908496732026031e-01
4.139433551198257177e-02,1.437908496732026031e-01
4.139433551198257177e-02,1.470588235294117696e-01
4.357298474945534017e-02,1.470588235294117696e-01
4.357298474945534017e-02,1.503267973856209083e-01
4.466230936819172437e-02,1.503267973856209083e-01
4.466230936819172437e-02,1.568627450980392135e-01
4.684095860566448583e-02,1.568627450980392135e-01
4.684095860566448583e-02,1.666666666666666574e-01
4.793028322440087002e-02,1.666666666666666574e-01
4.793028322440087002e-02,1.699346405228758239e-01
5.119825708061002262e-02,1.699346405228758239e-01
5.119825708061002262e-02,1.764705882352941291e-01
5.228758169934640682e-02,1.764705882352941291e-01
5.228758169934640682e-02,1.797385620915032678e-01
5.337690631808279101e-02,1.797385620915032678e-01
5.337690631808279101e-02,1.830065359477124065e-01
5.446623093681917521e-02,1.830065359477124065e-01
5.446623093681917521e-02,1.862745098039215730e-01
5.555555555555555247e-02,1.862745098039215730e-01
5.555555555555555247e-02,1.928104575163398782e-01
5.882352941176470507e-02,1.928104575163398782e-01
5.882352941176470507e-02,2.026143790849673221e-01
6.318082788671024186e-02,2.026143790849673221e-01
6.318082788671024186e-02,2.058823529411764608e-01
6.427015250544662606e-02,2.058823529411764608e-01
6.427015250544662606e-02,2.156862745098039325e-01
6.535947712418301025e-02,2.156862745098039325e-01
6.535947712418301025e-02,2.222222222222222099e-01
6.862745098039216285e-02,2.222222222222222099e-01
6.862745098039216285e-02,2.254901960784313764e-01
6.971677559912854705e-02,2.254901960784313764e-01
6.971677559912854705e-02,2.287581699346405151e-01
7.080610021786491737e-02,2.287581699346405151e-01
7.080610021786491737e-02,2.385620915032679867e-01
7.407407407407406996e-02,2.385620915032679867e-01
7.407407407407406996e-02,2.483660130718954306e-01
7.516339869281045416e-02,2.483660130718954306e-01
7.516339869281045416e-02,2.516339869281045694e-01
7.734204793028322256e-02,2.516339869281045694e-01
7.734204793028322256e-02,2.614379084967320410e-01
7.843137254901960675e-02,2.614379084967320410e-01
7.843137254901960675e-02,2.647058823529411797e-01
8.496732026143791194e-02,2.647058823529411797e-01
8.496732026143791194e-02,2.679738562091503185e-01
8.932461873638344874e-02,2.679738562091503185e-01
8.932461873638344874e-02,2.712418300653594572e-01
9.586056644880174005e-02,2.712418300653594572e-01
9.586056644880174005e-02,2.941176470588235392e-01
9.803921568627450844e-02,2.941176470588235392e-01
9.803921568627450844e-02,3.039215686274509554e-01
1.002178649237472768e-01,3.039215686274509554e-01
1.002178649237472768e-01,3.071895424836601496e-01
1.034858387799564294e-01,3.071895424836601496e-01
