FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.150537634408602149e-03
0.000000000000000000e+00,6.451612903225806446e-03
7.168458781362007162e-04,6.451612903225806446e-03
7.168458781362007162e-04,2.580645161290322578e-02
2.867383512544802865e-03,2.580645161290322578e-02
2.867383512544802865e-03,3.225806451612903136e-02
6.451612903225806446e-03,3.225806451612903136e-02
6.451612903225806446e-03,3.655913978494623739e-02
7.168458781362007162e-03,3.655913978494623739e-02
7.168458781362007162e-03,4.731182795698924554e-02
8.602150537634408595e-03,4.731182795698924554e-02
8.602150537634408595e-03,4.946236559139784855e-02
9.318996415770610178e-03,4.946236559139784855e-02
9.318996415770610178e-03,5.161290322580645157e-02
1.075268817204301161e-02,5.161290322580645157e-02
1.075268817204301161e-02,6.236559139784945971e-02
1.146953405017921146e-02,6.236559139784945971e-02
1.146953405017921146e-02,6.451612903225806273e-02
1.290322580645161289e-02,6.451612903225806273e-02
1.290322580645161289e-02,7.526881720430107781e-02
1.362007168458781448e-02,7.526881720430107781e-02
1.362007168458781448e-02,7.956989247311828384e-02
1.792114695340501704e-02,7.956989247311828384e-02
1.792114695340501704e-02,8.172043010752688685e-02
1.935483870967742021e-02,8.172043010752688685e-02
2.222222222222222307e-02,8.172043010752688685e-02
2.293906810035842292e-02,8.172043010752688685e-02
2.293906810035842292e-02,8.817204301075268202e-02
2.365591397849462277e-02,8.817204301075268202e-02
2.365591397849462277e-02,9.677419354838709409e-02
2.437275985663082609e-02,9.677419354838709409e-02
2.437275985663082609e-02,9.892473118279569710e-02
2.508960573476702594e-02,9.892473118279569710e-02
2.508960573476702594e-02,1.010752688172043001e-01
2.724014336917562895e-02,1.010752688172043001e-01
2.724014336917562895e-02,1.032258064516129031e-01
2.795698924731182880e-02,1.032258064516129031e-01
2.795698924731182880e-02,1.053763440860215062e-01
3.082437275985663166e-02,1.053763440860215062e-01
3.082437275985663166e-02,1.075268817204301092e-01
3.297491039426523468e-02,1.075268817204301092e-01
3.297491039426523468e-02,1.118279569892473152e-01
3.512544802867383770e-02,1.118279569892473152e-01
3.512544802867383770e-02,1.139784946236559182e-01
3.655913978494623739e-02,1.139784946236559182e-01
3.655913978494623739e-02,1.182795698924731242e-01
3.727598566308244071e-02,1.182795698924731242e-01
3.727598566308244071e-02,1.204301075268817273e-01
3.799283154121863709e-02,1.204301075268817273e-01
3.799283154121863709e-02,1.225806451612903164e-01
3.870967741935484041e-02,1.225806451612903164e-01
3.870967741935484041e-02,1.290322580645161255e-01
3.942652329749103679e-02,1.290322580645161255e-01
3.942652329749103679e-02,1.376344086021505375e-01
4.014336917562724011e-02,1.376344086021505375e-01
4.014336917562724011e-02,1.419354838709677435e-01
4.444444444444444614e-02,1.419354838709677435e-01
