FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
1.089324618736383548e-03,0.000000000000000000e+00
1.089324618736383548e-03,1.307189542483660170e-02
2.178649237472767095e-03,1.307189542483660170e-02
2.178649237472767095e-03,3.267973856209150513e-02
3.267973856209150426e-03,3.267973856209150513e-02
3.267973856209150426e-03,3.921568627450980338e-02
6.535947712418300852e-03,3.921568627450980338e-02
6.535947712418300852e-03,5.882352941176470507e-02
1.307189542483660170e-02,5.882352941176470507e-02
1.307189542483660170e-02,6.862745098039216285e-02
1.742919389978213676e-02,6.862745098039216285e-02
1.742919389978213676e-02,8.169934640522875935e-02
1.851851851851851749e-02,8.169934640522875935e-02
1.851851851851851749e-02,9.477124183006535585e-02
2.287581699346405081e-02,9.477124183006535585e-02
2.287581699346405081e-02,1.111111111111111049e-01
2.396514161220043501e-02,1.111111111111111049e-01
2.396514161220043501e-02,1.143790849673202575e-01
2.614379084967320341e-02,1.143790849673202575e-01
2.614379084967320341e-02,1.372549019607843257e-01
2.832244008714596833e-02,1.372549019607843257e-01
2.832244008714596833e-02,1.437908496732026031e-01
2.941176470588235253e-02,1.437908496732026031e-01
2.941176470588235253e-02,1.470588235294117696e-01
3.267973856209150513e-02,1.470588235294117696e-01
3.267973856209150513e-02,1.503267973856209083e-01
3.376906318082788933e-02,1.503267973856209083e-01
3.376906318082788933e-02,1.633986928104575187e-01
3.594771241830065078e-02,1.633986928104575187e-01
3.594771241830065078e-02,1.666666666666666574e-01
3.703703703703703498e-02,1.666666666666666574e-01
3.703703703703703498e-02,1.764705882352941291e-01
3.812636165577341918e-02,1.764705882352941291e-01
3.812636165577341918e-02,1.797385620915032678e-01
3.921568627450980338e-02,1.797385620915032678e-01
3.921568627450980338e-02,1.830065359477124065e-01
4.139433551198257177e-02,1.830065359477124065e-01
4.139433551198257177e-02,1.895424836601307117e-01
4.248366013071895597e-02,1.895424836601307117e-01
4.248366013071895597e-02,1.928104575163398782e-01
4.684095860566448583e-02,1.928104575163398782e-01
4.684095860566448583e-02,2.058823529411764608e-01
4.793028322440087002e-02,2.058823529411764608e-01
4.793028322440087002e-02,2.091503267973856273e-01
4.901960784313725422e-02,2.091503267973856273e-01
4.901960784313725422e-02,2.124183006535947660e-01
5.010893246187363842e-02,2.124183006535947660e-01
5.010893246187363842e-02,2.156862745098039325e-01
5.337690631808279101e-02,2.156862745098039325e-01
