FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.183431952662721909e-03
0.000000000000000000e+00,1.183431952662721866e-02
7.889546351084812366e-04,1.183431952662721866e-02
7.889546351084812366e-04,2.366863905325443732e-02
1.577909270216962473e-03,2.366863905325443732e-02
1.577909270216962473e-03,3.076923076923077094e-02
1.972386587771203254e-03,3.076923076923077094e-02
1.972386587771203254e-03,3.550295857988165771e-02
2.366863905325443818e-03,3.550295857988165771e-02
2.366863905325443818e-03,3.905325443786981932e-02
2.761341222879684382e-03,3.905325443786981932e-02
2.761341222879684382e-03,4.497041420118343125e-02
3.550295857988165511e-03,4.497041420118343125e-02
3.550295857988165511e-03,4.733727810650887463e-02
4.339250493096647072e-03,4.733727810650887463e-02
4.339250493096647072e-03,4.852071005917159979e-02
4.733727810650887637e-03,4.852071005917159979e-02
4.733727810650887637e-03,5.207100591715976140e-02
5.128205128205128201e-03,5.207100591715976140e-02
5.128205128205128201e-03,5.562130177514792995e-02
5.522682445759368765e-03,5.562130177514792995e-02
5.522682445759368765e-03,5.798816568047337333e-02
5.917159763313609329e-03,5.798816568047337333e-02
5.917159763313609329e-03,5.917159763313609155e-02
6.706114398422090457e-03,5.917159763313609155e-02
6.706114398422090457e-03,6.153846153846154188e-02
7.495069033530571585e-03,6.153846153846154188e-02
7.495069033530571585e-03,6.272189349112426704e-02
7.889546351084813017e-03,6.272189349112426704e-02
7.889546351084813017e-03,6.390532544378697832e-02
8.284023668639053581e-03,6.390532544378697832e-02
8.284023668639053581e-03,8.047337278106508895e-02
8.678500986193294145e-03,8.047337278106508895e-02
8.678500986193294145e-03,8.165680473372781412e-02
9.072978303747534709e-03,8.165680473372781412e-02
9.072978303747534709e-03,8.402366863905325056e-02
9.467455621301775273e-03,8.402366863905325056e-02
9.467455621301775273e-03,8.520710059171597572e-02
9.861932938856015837e-03,8.520710059171597572e-02
9.861932938856015837e-03,8.875739644970413733e-02
1.104536489151873753e-02,8.875739644970413733e-02
1.104536489151873753e-02,9.112426035502958765e-02
1.143984220907297809e-02,9.112426035502958765e-02
1.143984220907297809e-02,9.467455621301774926e-02
1.222879684418145922e-02,9.467455621301774926e-02
1.222879684418145922e-02,9.822485207100591087e-02
1.262327416173569979e-02,9.822485207100591087e-02
1.262327416173569979e-02,9.940828402366863603e-02
1.301775147928994035e-02,9.940828402366863603e-02
1.301775147928994035e-02,1.005917159763313612e-01
1.380670611439842148e-02,1.005917159763313612e-01
1.380670611439842148e-02,1.029585798816568115e-01
1.459566074950690261e-02,1.029585798816568115e-01
1.459566074950690261e-02,1.053254437869822480e-01
1.499013806706114317e-02,1.053254437869822480e-01
1.499013806706114317e-02,1.065088757396449731e-01
1.656804733727810716e-02,1.065088757396449731e-01
1.656804733727810716e-02,1.088757396449704096e-01
1.696252465483234773e-02,1.088757396449704096e-01
1.696252465483234773e-02,1.112426035502958599e-01
1.775147928994082885e-02,1.112426035502958599e-01
1.775147928994082885e-02,1.124260355029585851e-01
1.814595660749506942e-02,1.124260355029585851e-01
1.814595660749506942e-02,1.136094674556212963e-01
2.011834319526627224e-02,1.136094674556212963e-01
2.011834319526627224e-02,1.159763313609467467e-01
2.090729783037475337e-02,1.159763313609467467e-01
2.090729783037475337e-02,1.207100591715976334e-01
2.169625246548323450e-02,1.207100591715976334e-01
2.169625246548323450e-02,1.230769230769230838e-01
2.287968441814595619e-02,1.230769230769230838e-01
2.287968441814595619e-02,1.242603550295857950e-01
2.406311637080867788e-02,1.242603550295857950e-01
2.406311637080867788e-02,1.254437869822485341e-01
2.445759368836291844e-02,1.254437869822485341e-01
2.445759368836291844e-02,1.325443786982248573e-01
2.524654832347139957e-02,1.325443786982248573e-01
2.524654832347139957e-02,1.372781065088757302e-01
2.564102564102564014e-02,1.372781065088757302e-01
2.564102564102564014e-02,1.408284023668638918e-01
2.603550295857988070e-02,1.408284023668638918e-01
2.603550295857988070e-02,1.420118343195266308e-01
2.721893491124260239e-02,1.420118343195266308e-01
2.721893491124260239e-02,1.455621301775147924e-01
2.761341222879684296e-02,1.455621301775147924e-01
2.761341222879684296e-02,1.467455621301775037e-01
3.037475345167652691e-02,1.467455621301775037e-01
3.037475345167652691e-02,1.479289940828402428e-01
3.076923076923077094e-02,1.479289940828402428e-01
3.076923076923077094e-02,1.502958579881656931e-01
3.195266272189348916e-02,1.502958579881656931e-01
3.195266272189348916e-02,1.514792899408284044e-01
3.431952662721893255e-02,1.514792899408284044e-01
3.431952662721893255e-02,1.526627218934911157e-01
3.510848126232741367e-02,1.526627218934911157e-01
3.510848126232741367e-02,1.562130177514792773e-01
3.550295857988165771e-02,1.562130177514792773e-01
3.550295857988165771e-02,1.573964497041420163e-01
3.589743589743589480e-02,1.573964497041420163e-01
3.589743589743589480e-02,1.585798816568047276e-01
3.629191321499013884e-02,1.585798816568047276e-01
3.629191321499013884e-02,1.597633136094674666e-01
3.668639053254437593e-02,1.597633136094674666e-01
3.668639053254437593e-02,1.609467455621301779e-01
3.747534516765285706e-02,1.609467455621301779e-01
3.747534516765285706e-02,1.621301775147928892e-01
3.786982248520710109e-02,1.621301775147928892e-01
3.786982248520710109e-02,1.633136094674556282e-01
3.826429980276133819e-02,1.633136094674556282e-01
3.826429980276133819e-02,1.644970414201183395e-01
3.865877712031558222e-02,1.644970414201183395e-01
3.865877712031558222e-02,1.668639053254437898e-01
3.984220907297830044e-02,1.668639053254437898e-01
3.984220907297830044e-02,1.704142011834319514e-01
4.023668639053254448e-02,1.704142011834319514e-01
4.023668639053254448e-02,1.727810650887574018e-01
4.142011834319526964e-02,1.727810650887574018e-01
4.142011834319526964e-02,1.739644970414201131e-01
4.260355029585798786e-02,1.739644970414201131e-01
4.260355029585798786e-02,1.751479289940828521e-01
4.418145956607495012e-02,1.751479289940828521e-01
4.418145956607495012e-02,1.775147928994082747e-01
4.497041420118343125e-02,1.775147928994082747e-01
4.497041420118343125e-02,1.810650887573964363e-01
4.575936883629191237e-02,1.810650887573964363e-01
4.575936883629191237e-02,1.834319526627218866e-01
4.615384615384615641e-02,1.834319526627218866e-01
4.615384615384615641e-02,1.846153846153846256e-01
4.773175542406311866e-02,1.846153846153846256e-01
4.773175542406311866e-02,1.857988165680473369e-01
4.812623274161735576e-02,1.857988165680473369e-01
4.812623274161735576e-02,1.869822485207100482e-01
4.891518737672583689e-02,1.869822485207100482e-01
4.891518737672583689e-02,1.881656804733727872e-01
4.970414201183431802e-02,1.881656804733727872e-01
5.049309664694279914e-02,1.881656804733727872e-01
5.049309664694279914e-02,1.905325443786982376e-01
5.207100591715976140e-02,1.905325443786982376e-01
5.207100591715976140e-02,1.940828402366863992e-01
5.404339250493096769e-02,1.940828402366863992e-01
5.404339250493096769e-02,1.964497041420118217e-01
5.443786982248520478e-02,1.964497041420118217e-01
5.443786982248520478e-02,1.988165680473372721e-01
5.522682445759368591e-02,1.988165680473372721e-01
5.522682445759368591e-02,2.000000000000000111e-01
