FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.831501831501831500e-03
0.000000000000000000e+00,3.663003663003663000e-03
6.105006105006105001e-04,3.663003663003663000e-03
6.105006105006105001e-04,1.648351648351648394e-02
2.442002442002442000e-03,1.648351648351648394e-02
2.442002442002442000e-03,2.014652014652014780e-02
3.052503052503052500e-03,2.014652014652014780e-02
3.052503052503052500e-03,2.930402930402930400e-02
4.273504273504273934e-03,2.930402930402930400e-02
4.273504273504273934e-03,3.479853479853479981e-02
4.884004884004884001e-03,3.479853479853479981e-02
4.884004884004884001e-03,3.846153846153846367e-02
5.494505494505494934e-03,3.846153846153846367e-02
5.494505494505494934e-03,4.212454212454212754e-02
6.105006105006105001e-03,4.212454212454212754e-02
6.105006105006105001e-03,4.395604395604395948e-02
6.715506715506715935e-03,4.395604395604395948e-02
6.715506715506715935e-03,4.578754578754578447e-02
7.326007326007326001e-03,4.578754578754578447e-02
7.326007326007326001e-03,4.761904761904761640e-02
9.157509157509157935e-03,4.761904761904761640e-02
9.157509157509157935e-03,4.945054945054944834e-02
9.768009768009768001e-03,4.945054945054944834e-02
9.768009768009768001e-03,6.043956043956043994e-02
1.037851037851037807e-02,6.043956043956043994e-02
1.037851037851037807e-02,6.776556776556776074e-02
1.159951159951159994e-02,6.776556776556776074e-02
1.159951159951159994e-02,6.959706959706959961e-02
1.221001221001221000e-02,6.959706959706959961e-02
1.221001221001221000e-02,7.509157509157508847e-02
1.282051282051282007e-02,7.509157509157508847e-02
1.282051282051282007e-02,8.058608058608059121e-02
1.343101343101343187e-02,8.058608058608059121e-02
1.343101343101343187e-02,8.241758241758241621e-02
1.404151404151404194e-02,8.241758241758241621e-02
1.404151404151404194e-02,8.608058608058608008e-02
1.465201465201465200e-02,8.608058608058608008e-02
1.465201465201465200e-02,8.791208791208791895e-02
1.831501831501831587e-02,8.791208791208791895e-02
1.831501831501831587e-02,8.974358974358974395e-02
1.892551892551892420e-02,8.974358974358974395e-02
1.892551892551892420e-02,9.340659340659340781e-02
2.319902319902319987e-02,9.340659340659340781e-02
2.319902319902319987e-02,9.523809523809523281e-02
2.380952380952380820e-02,9.523809523809523281e-02
2.380952380952380820e-02,9.890109890109889668e-02
2.442002442002442000e-02,9.890109890109889668e-02
2.442002442002442000e-02,1.007326007326007355e-01
2.564102564102564014e-02,1.007326007326007355e-01
2.564102564102564014e-02,1.098901098901098883e-01
2.625152625152625194e-02,1.098901098901098883e-01
2.625152625152625194e-02,1.117216117216117272e-01
2.808302808302808387e-02,1.117216117216117272e-01
2.808302808302808387e-02,1.135531135531135521e-01
2.991452991452991581e-02,1.135531135531135521e-01
2.991452991452991581e-02,1.153846153846153910e-01
3.052503052503052414e-02,1.153846153846153910e-01
3.052503052503052414e-02,1.190476190476190410e-01
3.113553113553113594e-02,1.190476190476190410e-01
3.113553113553113594e-02,1.245421245421245438e-01
3.174603174603174427e-02,1.245421245421245438e-01
3.174603174603174427e-02,1.300366300366300465e-01
3.235653235653235954e-02,1.300366300366300465e-01
3.235653235653235954e-02,1.336996336996336965e-01
3.296703296703296787e-02,1.336996336996336965e-01
3.296703296703296787e-02,1.373626373626373742e-01
3.479853479853479981e-02,1.373626373626373742e-01
3.479853479853479981e-02,1.410256410256410242e-01
3.540903540903540814e-02,1.410256410256410242e-01
3.540903540903540814e-02,1.428571428571428492e-01
3.724053724053724007e-02,1.428571428571428492e-01
3.724053724053724007e-02,1.465201465201465270e-01
3.785103785103784840e-02,1.465201465201465270e-01
3.785103785103784840e-02,1.483516483516483520e-01
3.846153846153846367e-02,1.483516483516483520e-01
3.846153846153846367e-02,1.501831501831501769e-01
3.907203907203907201e-02,1.501831501831501769e-01
3.907203907203907201e-02,1.520146520146520019e-01
3.968253968253968034e-02,1.520146520146520019e-01
3.968253968253968034e-02,1.593406593406593297e-01
4.029304029304029561e-02,1.593406593406593297e-01
4.151404151404151227e-02,1.593406593406593297e-01
4.151404151404151227e-02,1.648351648351648324e-01
4.212454212454212754e-02,1.648351648351648324e-01
4.212454212454212754e-02,1.666666666666666574e-01
4.395604395604395948e-02,1.666666666666666574e-01
4.395604395604395948e-02,1.758241758241758379e-01
4.578754578754578447e-02,1.758241758241758379e-01
4.578754578754578447e-02,1.794871794871794879e-01
4.761904761904761640e-02,1.794871794871794879e-01
4.761904761904761640e-02,1.849816849816849906e-01
4.822954822954823167e-02,1.849816849816849906e-01
4.822954822954823167e-02,1.886446886446886406e-01
4.945054945054944834e-02,1.886446886446886406e-01
4.945054945054944834e-02,1.923076923076923184e-01
5.006105006105006361e-02,1.923076923076923184e-01
5.006105006105006361e-02,1.941391941391941434e-01
5.128205128205128027e-02,1.941391941391941434e-01
5.128205128205128027e-02,1.978021978021977934e-01
5.189255189255189554e-02,1.978021978021977934e-01
5.189255189255189554e-02,2.087912087912087988e-01
5.250305250305250387e-02,2.087912087912087988e-01
5.250305250305250387e-02,2.161172161172161266e-01
5.311355311355311221e-02,2.161172161172161266e-01
5.311355311355311221e-02,2.179487179487179516e-01
5.433455433455433581e-02,2.179487179487179516e-01
5.433455433455433581e-02,2.216117216117216016e-01
5.616605616605616774e-02,2.216117216117216016e-01
5.616605616605616774e-02,2.252747252747252793e-01
5.921855921855921634e-02,2.252747252747252793e-01
5.921855921855921634e-02,2.271062271062271043e-01
6.166056166056166354e-02,2.271062271062271043e-01
6.166056166056166354e-02,2.289377289377289293e-01
6.410256410256409687e-02,2.289377289377289293e-01
6.410256410256409687e-02,2.326007326007326070e-01
6.471306471306471908e-02,2.326007326007326070e-01
6.471306471306471908e-02,2.344322344322344320e-01
6.715506715506715241e-02,2.344322344322344320e-01
6.715506715506715241e-02,2.362637362637362570e-01
6.776556776556776074e-02,2.362637362637362570e-01
6.776556776556776074e-02,2.380952380952380820e-01
6.898656898656899128e-02,2.380952380952380820e-01
6.898656898656899128e-02,2.435897435897435848e-01
6.959706959706959961e-02,2.435897435897435848e-01
6.959706959706959961e-02,2.454212454212454098e-01
7.081807081807081627e-02,2.454212454212454098e-01
7.081807081807081627e-02,2.472527472527472625e-01
7.448107448107448014e-02,2.472527472527472625e-01
7.448107448107448014e-02,2.490842490842490875e-01
7.570207570207569681e-02,2.490842490842490875e-01
7.570207570207569681e-02,2.509157509157509125e-01
7.631257631257631902e-02,2.509157509157509125e-01
7.631257631257631902e-02,2.527472527472527375e-01
7.875457875457875234e-02,2.527472527472527375e-01
7.875457875457875234e-02,2.545787545787545625e-01
7.997557997557996901e-02,2.545787545787545625e-01
7.997557997557996901e-02,2.564102564102563875e-01
8.058608058608059121e-02,2.564102564102563875e-01
8.058608058608059121e-02,2.619047619047619180e-01
8.119658119658119955e-02,2.619047619047619180e-01
8.119658119658119955e-02,2.637362637362637430e-01
8.180708180708180788e-02,2.637362637362637430e-01
8.180708180708180788e-02,2.655677655677655680e-01
8.241758241758241621e-02,2.655677655677655680e-01
8.241758241758241621e-02,2.673992673992673930e-01
8.424908424908425508e-02,2.673992673992673930e-01
8.424908424908425508e-02,2.710622710622710430e-01
8.547008547008547175e-02,2.710622710622710430e-01
8.547008547008547175e-02,2.747252747252747485e-01
8.608058608058608008e-02,2.747252747252747485e-01
