FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.183431952662721909e-03
0.000000000000000000e+00,3.550295857988165511e-03
3.944773175542406183e-04,3.550295857988165511e-03
3.944773175542406183e-04,7.100591715976331021e-03
1.183431952662721909e-03,7.100591715976331021e-03
1.183431952662721909e-03,1.301775147928994035e-02
1.577909270216962473e-03,1.301775147928994035e-02
1.577909270216962473e-03,1.656804733727810716e-02
1.972386587771203254e-03,1.656804733727810716e-02
1.972386587771203254e-03,1.893491124260355055e-02
2.366863905325443818e-03,1.893491124260355055e-02
2.366863905325443818e-03,2.248520710059171562e-02
2.761341222879684382e-03,2.248520710059171562e-02
2.761341222879684382e-03,2.366863905325443732e-02
3.155818540433924946e-03,2.366863905325443732e-02
3.155818540433924946e-03,2.721893491124260239e-02
3.944773175542406508e-03,2.721893491124260239e-02
3.944773175542406508e-03,2.840236686390532408e-02
4.339250493096647072e-03,2.840236686390532408e-02
4.339250493096647072e-03,3.076923076923077094e-02
5.128205128205128201e-03,3.076923076923077094e-02
5.128205128205128201e-03,3.313609467455621432e-02
5.522682445759368765e-03,3.313609467455621432e-02
5.522682445759368765e-03,3.668639053254437593e-02
6.706114398422090457e-03,3.668639053254437593e-02
6.706114398422090457e-03,3.786982248520710109e-02
7.100591715976331021e-03,3.786982248520710109e-02
7.100591715976331021e-03,4.023668639053254448e-02
7.495069033530571585e-03,4.023668639053254448e-02
7.495069033530571585e-03,4.260355029585798786e-02
7.889546351084813017e-03,4.260355029585798786e-02
7.889546351084813017e-03,4.378698224852071302e-02
8.284023668639053581e-03,4.378698224852071302e-02
8.284023668639053581e-03,4.615384615384615641e-02
9.467455621301775273e-03,4.615384615384615641e-02
9.467455621301775273e-03,5.088757396449704318e-02
9.861932938856015837e-03,5.088757396449704318e-02
9.861932938856015837e-03,5.207100591715976140e-02
1.025641025641025640e-02,5.207100591715976140e-02
1.025641025641025640e-02,5.325443786982248656e-02
1.104536489151873753e-02,5.325443786982248656e-02
1.104536489151873753e-02,5.917159763313609155e-02
1.143984220907297809e-02,5.917159763313609155e-02
1.143984220907297809e-02,6.272189349112426704e-02
1.262327416173569979e-02,6.272189349112426704e-02
1.262327416173569979e-02,6.508875739644970349e-02
1.459566074950690261e-02,6.508875739644970349e-02
1.459566074950690261e-02,6.627218934911242865e-02
1.499013806706114317e-02,6.627218934911242865e-02
1.499013806706114317e-02,6.863905325443786509e-02
1.656804733727810716e-02,6.863905325443786509e-02
1.656804733727810716e-02,7.100591715976331542e-02
1.775147928994082885e-02,7.100591715976331542e-02
1.775147928994082885e-02,7.573964497041420219e-02
1.814595660749506942e-02,7.573964497041420219e-02
1.814595660749506942e-02,7.692307692307692735e-02
1.854043392504930998e-02,7.692307692307692735e-02
1.854043392504930998e-02,7.810650887573963863e-02
1.932938856015779111e-02,7.810650887573963863e-02
1.932938856015779111e-02,8.402366863905325056e-02
2.011834319526627224e-02,8.402366863905325056e-02
2.011834319526627224e-02,8.520710059171597572e-02
2.090729783037475337e-02,8.520710059171597572e-02
2.130177514792899393e-02,8.520710059171597572e-02
2.130177514792899393e-02,8.757396449704142605e-02
2.287968441814595619e-02,8.757396449704142605e-02
2.287968441814595619e-02,8.875739644970413733e-02
2.327416173570019675e-02,8.875739644970413733e-02
2.327416173570019675e-02,9.112426035502958765e-02
2.445759368836291844e-02,9.112426035502958765e-02
2.445759368836291844e-02,9.585798816568047442e-02
2.524654832347139957e-02,9.585798816568047442e-02
2.524654832347139957e-02,9.704142011834319959e-02
2.682445759368836183e-02,9.704142011834319959e-02
2.682445759368836183e-02,1.017751479289940864e-01
2.761341222879684296e-02,1.017751479289940864e-01
2.761341222879684296e-02,1.041420118343195228e-01
2.800788954635108352e-02,1.041420118343195228e-01
2.800788954635108352e-02,1.053254437869822480e-01
2.840236686390532408e-02,1.053254437869822480e-01
2.840236686390532408e-02,1.065088757396449731e-01
2.879684418145956465e-02,1.065088757396449731e-01
2.879684418145956465e-02,1.076923076923076983e-01
2.919132149901380521e-02,1.076923076923076983e-01
2.919132149901380521e-02,1.088757396449704096e-01
3.116370808678501150e-02,1.088757396449704096e-01
3.116370808678501150e-02,1.100591715976331347e-01
3.155818540433925207e-02,1.100591715976331347e-01
3.155818540433925207e-02,1.147928994082840215e-01
3.234714003944773320e-02,1.147928994082840215e-01
3.234714003944773320e-02,1.171597633136094718e-01
3.274161735700197029e-02,1.171597633136094718e-01
3.274161735700197029e-02,1.195266272189349083e-01
3.353057199211045142e-02,1.195266272189349083e-01
3.353057199211045142e-02,1.207100591715976334e-01
3.431952662721893255e-02,1.207100591715976334e-01
3.431952662721893255e-02,1.242603550295857950e-01
3.471400394477317658e-02,1.242603550295857950e-01
3.471400394477317658e-02,1.278106508875739566e-01
3.510848126232741367e-02,1.278106508875739566e-01
3.510848126232741367e-02,1.289940828402366957e-01
3.629191321499013884e-02,1.289940828402366957e-01
3.629191321499013884e-02,1.301775147928994070e-01
3.747534516765285706e-02,1.301775147928994070e-01
3.747534516765285706e-02,1.313609467455621183e-01
3.865877712031558222e-02,1.313609467455621183e-01
3.865877712031558222e-02,1.372781065088757302e-01
3.905325443786981932e-02,1.372781065088757302e-01
3.905325443786981932e-02,1.384615384615384692e-01
3.944773175542406335e-02,1.384615384615384692e-01
3.944773175542406335e-02,1.396449704142011805e-01
4.063116370808678157e-02,1.396449704142011805e-01
4.063116370808678157e-02,1.408284023668638918e-01
4.142011834319526964e-02,1.408284023668638918e-01
4.142011834319526964e-02,1.420118343195266308e-01
4.181459566074950673e-02,1.420118343195266308e-01
4.181459566074950673e-02,1.455621301775147924e-01
4.220907297830375077e-02,1.455621301775147924e-01
4.220907297830375077e-02,1.467455621301775037e-01
4.654832347140039350e-02,1.467455621301775037e-01
4.654832347140039350e-02,1.502958579881656931e-01
4.733727810650887463e-02,1.502958579881656931e-01
4.733727810650887463e-02,1.514792899408284044e-01
5.049309664694279914e-02,1.514792899408284044e-01
5.049309664694279914e-02,1.526627218934911157e-01
5.128205128205128027e-02,1.526627218934911157e-01
5.128205128205128027e-02,1.538461538461538547e-01
5.246548323471400543e-02,1.538461538461538547e-01
5.246548323471400543e-02,1.573964497041420163e-01
5.364891518737672366e-02,1.573964497041420163e-01
5.364891518737672366e-02,1.585798816568047276e-01
5.483234714003944882e-02,1.585798816568047276e-01
5.483234714003944882e-02,1.597633136094674666e-01
5.601577909270216704e-02,1.597633136094674666e-01
5.601577909270216704e-02,1.644970414201183395e-01
5.719921104536489220e-02,1.644970414201183395e-01
5.719921104536489220e-02,1.656804733727810786e-01
5.798816568047337333e-02,1.656804733727810786e-01
5.798816568047337333e-02,1.668639053254437898e-01
5.838264299802761043e-02,1.668639053254437898e-01
5.838264299802761043e-02,1.680473372781065011e-01
6.074950690335305381e-02,1.680473372781065011e-01
6.074950690335305381e-02,1.692307692307692402e-01
6.193293885601577897e-02,1.692307692307692402e-01
6.193293885601577897e-02,1.704142011834319514e-01
