FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
6.105006105006105001e-04,0.000000000000000000e+00
6.105006105006105001e-04,1.465201465201465200e-02
2.442002442002442000e-03,1.465201465201465200e-02
2.442002442002442000e-03,1.648351648351648394e-02
3.663003663003663000e-03,1.648351648351648394e-02
3.663003663003663000e-03,1.831501831501831587e-02
4.273504273504273934e-03,1.831501831501831587e-02
4.273504273504273934e-03,2.380952380952380820e-02
6.105006105006105001e-03,2.380952380952380820e-02
6.105006105006105001e-03,2.747252747252747207e-02
6.715506715506715935e-03,2.747252747252747207e-02
6.715506715506715935e-03,3.113553113553113594e-02
7.326007326007326001e-03,3.113553113553113594e-02
7.326007326007326001e-03,3.296703296703296787e-02
7.936507936507936067e-03,3.296703296703296787e-02
7.936507936507936067e-03,3.846153846153846367e-02
8.547008547008547868e-03,3.846153846153846367e-02
8.547008547008547868e-03,5.494505494505494414e-02
9.157509157509157935e-03,5.494505494505494414e-02
9.157509157509157935e-03,5.677655677655677607e-02
1.037851037851037807e-02,5.677655677655677607e-02
1.037851037851037807e-02,6.410256410256409687e-02
2.319902319902319987e-02,6.410256410256409687e-02
2.319902319902319987e-02,7.326007326007326348e-02
2.442002442002442000e-02,7.326007326007326348e-02
2.442002442002442000e-02,7.509157509157508847e-02
2.869352869352869220e-02,7.509157509157508847e-02
2.869352869352869220e-02,7.692307692307692735e-02
2.930402930402930400e-02,7.692307692307692735e-02
2.930402930402930400e-02,8.241758241758241621e-02
2.991452991452991581e-02,8.241758241758241621e-02
2.991452991452991581e-02,8.424908424908425508e-02
3.174603174603174427e-02,8.424908424908425508e-02
3.174603174603174427e-02,8.791208791208791895e-02
3.235653235653235954e-02,8.791208791208791895e-02
3.235653235653235954e-02,9.157509157509156894e-02
3.601953601953601647e-02,9.157509157509156894e-02
3.601953601953601647e-02,9.340659340659340781e-02
3.785103785103784840e-02,9.340659340659340781e-02
3.785103785103784840e-02,9.523809523809523281e-02
3.846153846153846367e-02,9.523809523809523281e-02
3.846153846153846367e-02,1.007326007326007355e-01
3.907203907203907201e-02,1.007326007326007355e-01
3.907203907203907201e-02,1.062271062271062244e-01
3.968253968253968034e-02,1.062271062271062244e-01
3.968253968253968034e-02,1.080586080586080633e-01
4.334554334554334420e-02,1.080586080586080633e-01
4.334554334554334420e-02,1.098901098901098883e-01
4.517704517704517614e-02,1.098901098901098883e-01
4.517704517704517614e-02,1.135531135531135521e-01
4.639804639804639974e-02,1.135531135531135521e-01
4.639804639804639974e-02,1.172161172161172160e-01
4.700854700854700807e-02,1.172161172161172160e-01
4.700854700854700807e-02,1.208791208791208799e-01
4.761904761904761640e-02,1.208791208791208799e-01
4.761904761904761640e-02,1.227106227106227049e-01
4.945054945054944834e-02,1.227106227106227049e-01
4.945054945054944834e-02,1.263736263736263687e-01
5.067155067155067194e-02,1.263736263736263687e-01
5.067155067155067194e-02,1.282051282051281937e-01
5.311355311355311221e-02,1.282051282051281937e-01
5.311355311355311221e-02,1.300366300366300465e-01
5.372405372405372748e-02,1.300366300366300465e-01
5.372405372405372748e-02,1.336996336996336965e-01
5.982905982905983161e-02,1.336996336996336965e-01
5.982905982905983161e-02,1.355311355311355215e-01
6.105006105006104827e-02,1.355311355311355215e-01
6.105006105006104827e-02,1.391941391941391992e-01
6.166056166056166354e-02,1.391941391941391992e-01
6.166056166056166354e-02,1.410256410256410242e-01
6.288156288156288021e-02,1.410256410256410242e-01
6.288156288156288021e-02,1.428571428571428492e-01
6.349206349206348854e-02,1.428571428571428492e-01
6.349206349206348854e-02,1.446886446886447020e-01
6.471306471306471908e-02,1.446886446886447020e-01
6.471306471306471908e-02,1.465201465201465270e-01
6.654456654456654408e-02,1.465201465201465270e-01
6.654456654456654408e-02,1.483516483516483520e-01
6.776556776556776074e-02,1.483516483516483520e-01
6.776556776556776074e-02,1.501831501831501769e-01
6.959706959706959961e-02,1.501831501831501769e-01
6.959706959706959961e-02,1.520146520146520019e-01
7.142857142857142461e-02,1.520146520146520019e-01
7.142857142857142461e-02,1.538461538461538547e-01
7.203907203907203294e-02,1.538461538461538547e-01
7.203907203907203294e-02,1.556776556776556797e-01
7.326007326007326348e-02,1.556776556776556797e-01
7.326007326007326348e-02,1.575091575091575047e-01
7.387057387057387181e-02,1.575091575091575047e-01
7.387057387057387181e-02,1.593406593406593297e-01
7.570207570207569681e-02,1.593406593406593297e-01
7.570207570207569681e-02,1.666666666666666574e-01
8.058608058608059121e-02,1.666666666666666574e-01
8.058608058608059121e-02,1.703296703296703352e-01
8.180708180708180788e-02,1.703296703296703352e-01
8.180708180708180788e-02,1.721611721611721602e-01
8.363858363858363287e-02,1.721611721611721602e-01
8.363858363858363287e-02,1.739926739926739852e-01
8.485958485958486341e-02,1.739926739926739852e-01
8.485958485958486341e-02,1.776556776556776629e-01
8.547008547008547175e-02,1.776556776556776629e-01
8.547008547008547175e-02,1.794871794871794879e-01
8.852258852258852728e-02,1.794871794871794879e-01
8.852258852258852728e-02,1.831501831501831379e-01
8.913308913308913561e-02,1.831501831501831379e-01
8.913308913308913561e-02,1.868131868131868156e-01
9.157509157509156894e-02,1.868131868131868156e-01
9.157509157509156894e-02,1.886446886446886406e-01
9.279609279609279948e-02,1.886446886446886406e-01
9.279609279609279948e-02,1.904761904761904656e-01
9.340659340659340781e-02,1.904761904761904656e-01
