FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.183431952662721909e-03
0.000000000000000000e+00,2.011834319526627224e-02
3.944773175542406183e-04,2.011834319526627224e-02
3.944773175542406183e-04,3.313609467455621432e-02
7.889546351084812366e-04,3.313609467455621432e-02
7.889546351084812366e-04,3.431952662721893255e-02
1.183431952662721909e-03,3.431952662721893255e-02
1.183431952662721909e-03,3.550295857988165771e-02
2.761341222879684382e-03,3.550295857988165771e-02
2.761341222879684382e-03,3.905325443786981932e-02
4.339250493096647072e-03,3.905325443786981932e-02
4.339250493096647072e-03,4.023668639053254448e-02
4.733727810650887637e-03,4.023668639053254448e-02
4.733727810650887637e-03,4.142011834319526964e-02
5.128205128205128201e-03,4.142011834319526964e-02
5.128205128205128201e-03,4.260355029585798786e-02
5.522682445759368765e-03,4.260355029585798786e-02
5.522682445759368765e-03,4.378698224852071302e-02
5.917159763313609329e-03,4.378698224852071302e-02
5.917159763313609329e-03,4.852071005917159979e-02
6.311637080867849893e-03,4.852071005917159979e-02
6.311637080867849893e-03,5.207100591715976140e-02
6.706114398422090457e-03,5.207100591715976140e-02
6.706114398422090457e-03,5.325443786982248656e-02
7.100591715976331021e-03,5.325443786982248656e-02
7.100591715976331021e-03,5.443786982248520478e-02
7.495069033530571585e-03,5.443786982248520478e-02
7.495069033530571585e-03,5.562130177514792995e-02
7.889546351084813017e-03,5.562130177514792995e-02
7.889546351084813017e-03,5.680473372781064817e-02
8.284023668639053581e-03,5.680473372781064817e-02
8.284023668639053581e-03,6.035502958579881672e-02
8.678500986193294145e-03,6.035502958579881672e-02
8.678500986193294145e-03,6.390532544378697832e-02
9.467455621301775273e-03,6.390532544378697832e-02
9.467455621301775273e-03,6.508875739644970349e-02
1.025641025641025640e-02,6.508875739644970349e-02
1.025641025641025640e-02,6.745562130177515381e-02
1.065088757396449697e-02,6.745562130177515381e-02
1.065088757396449697e-02,6.863905325443786509e-02
1.104536489151873753e-02,6.863905325443786509e-02
1.104536489151873753e-02,7.100591715976331542e-02
1.143984220907297809e-02,7.100591715976331542e-02
1.143984220907297809e-02,7.337278106508875186e-02
1.183431952662721866e-02,7.337278106508875186e-02
1.183431952662721866e-02,7.692307692307692735e-02
1.341222879684418091e-02,7.692307692307692735e-02
1.341222879684418091e-02,7.928994082840236379e-02
1.380670611439842148e-02,7.928994082840236379e-02
1.380670611439842148e-02,8.047337278106508895e-02
1.459566074950690261e-02,8.047337278106508895e-02
1.459566074950690261e-02,8.284023668639053928e-02
1.577909270216962603e-02,8.284023668639053928e-02
1.577909270216962603e-02,8.639053254437870089e-02
1.617357001972386660e-02,8.639053254437870089e-02
1.617357001972386660e-02,9.704142011834319959e-02
1.656804733727810716e-02,9.704142011834319959e-02
1.656804733727810716e-02,9.822485207100591087e-02
1.696252465483234773e-02,9.822485207100591087e-02
1.696252465483234773e-02,9.940828402366863603e-02
1.893491124260355055e-02,9.940828402366863603e-02
1.893491124260355055e-02,1.017751479289940864e-01
2.051282051282051280e-02,1.017751479289940864e-01
2.051282051282051280e-02,1.041420118343195228e-01
2.090729783037475337e-02,1.041420118343195228e-01
2.090729783037475337e-02,1.053254437869822480e-01
2.169625246548323450e-02,1.053254437869822480e-01
2.169625246548323450e-02,1.100591715976331347e-01
2.327416173570019675e-02,1.100591715976331347e-01
2.327416173570019675e-02,1.112426035502958599e-01
2.445759368836291844e-02,1.112426035502958599e-01
2.445759368836291844e-02,1.124260355029585851e-01
2.721893491124260239e-02,1.124260355029585851e-01
2.721893491124260239e-02,1.171597633136094718e-01
2.761341222879684296e-02,1.171597633136094718e-01
2.761341222879684296e-02,1.195266272189349083e-01
2.840236686390532408e-02,1.195266272189349083e-01
2.840236686390532408e-02,1.218934911242603586e-01
2.958579881656804578e-02,1.218934911242603586e-01
2.958579881656804578e-02,1.230769230769230838e-01
2.998027613412228634e-02,1.230769230769230838e-01
2.998027613412228634e-02,1.242603550295857950e-01
3.037475345167652691e-02,1.242603550295857950e-01
3.037475345167652691e-02,1.266272189349112454e-01
3.076923076923077094e-02,1.266272189349112454e-01
3.076923076923077094e-02,1.360946745562130189e-01
3.116370808678501150e-02,1.360946745562130189e-01
3.116370808678501150e-02,1.420118343195266308e-01
3.195266272189348916e-02,1.420118343195266308e-01
3.195266272189348916e-02,1.443786982248520812e-01
3.234714003944773320e-02,1.443786982248520812e-01
3.234714003944773320e-02,1.455621301775147924e-01
3.274161735700197029e-02,1.455621301775147924e-01
3.274161735700197029e-02,1.467455621301775037e-01
3.353057199211045142e-02,1.467455621301775037e-01
3.353057199211045142e-02,1.479289940828402428e-01
3.392504930966469545e-02,1.479289940828402428e-01
3.392504930966469545e-02,1.491124260355029540e-01
3.471400394477317658e-02,1.491124260355029540e-01
3.471400394477317658e-02,1.526627218934911157e-01
3.510848126232741367e-02,1.526627218934911157e-01
3.510848126232741367e-02,1.550295857988165660e-01
3.550295857988165771e-02,1.550295857988165660e-01
3.550295857988165771e-02,1.562130177514792773e-01
3.589743589743589480e-02,1.562130177514792773e-01
3.589743589743589480e-02,1.597633136094674666e-01
3.629191321499013884e-02,1.597633136094674666e-01
3.629191321499013884e-02,1.609467455621301779e-01
3.668639053254437593e-02,1.609467455621301779e-01
3.668639053254437593e-02,1.621301775147928892e-01
3.747534516765285706e-02,1.621301775147928892e-01
3.747534516765285706e-02,1.644970414201183395e-01
3.826429980276133819e-02,1.644970414201183395e-01
3.826429980276133819e-02,1.656804733727810786e-01
3.905325443786981932e-02,1.656804733727810786e-01
3.905325443786981932e-02,1.668639053254437898e-01
4.023668639053254448e-02,1.668639053254437898e-01
4.023668639053254448e-02,1.680473372781065011e-01
4.142011834319526964e-02,1.680473372781065011e-01
4.142011834319526964e-02,1.727810650887574018e-01
4.181459566074950673e-02,1.727810650887574018e-01
4.181459566074950673e-02,1.751479289940828521e-01
4.220907297830375077e-02,1.751479289940828521e-01
4.220907297830375077e-02,1.775147928994082747e-01
4.299802761341223190e-02,1.775147928994082747e-01
4.299802761341223190e-02,1.786982248520710137e-01
4.339250493096646899e-02,1.786982248520710137e-01
4.339250493096646899e-02,1.810650887573964363e-01
4.378698224852071302e-02,1.810650887573964363e-01
4.378698224852071302e-02,1.834319526627218866e-01
4.418145956607495012e-02,1.834319526627218866e-01
4.418145956607495012e-02,1.857988165680473369e-01
4.497041420118343125e-02,1.857988165680473369e-01
4.497041420118343125e-02,1.881656804733727872e-01
4.575936883629191237e-02,1.881656804733727872e-01
4.575936883629191237e-02,1.905325443786982376e-01
4.615384615384615641e-02,1.905325443786982376e-01
4.615384615384615641e-02,1.952662721893491105e-01
4.654832347140039350e-02,1.952662721893491105e-01
4.654832347140039350e-02,1.964497041420118217e-01
4.694280078895463754e-02,1.964497041420118217e-01
4.694280078895463754e-02,1.976331360946745608e-01
4.852071005917159979e-02,1.976331360946745608e-01
4.852071005917159979e-02,2.011834319526627224e-01
4.930966469428008092e-02,2.011834319526627224e-01
