FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
6.540222367560497496e-04,0.000000000000000000e+00
6.540222367560497496e-04,3.521126760563380361e-03
1.962066710268149140e-03,3.521126760563380361e-03
1.962066710268149140e-03,7.042253521126760722e-03
2.616088947024198998e-03,7.042253521126760722e-03
2.616088947024198998e-03,1.408450704225352144e-02
3.270111183780248423e-03,1.408450704225352144e-02
3.270111183780248423e-03,1.760563380281690224e-02
4.578155657292347705e-03,1.760563380281690224e-02
4.578155657292347705e-03,2.464788732394366036e-02
5.232177894048397997e-03,2.464788732394366036e-02
5.232177894048397997e-03,3.169014084507042195e-02
5.886200130804447421e-03,3.169014084507042195e-02
5.886200130804447421e-03,3.521126760563380448e-02
9.156311314584695410e-03,3.521126760563380448e-02
9.156311314584695410e-03,4.225352112676056260e-02
9.810333551340744834e-03,4.225352112676056260e-02
9.810333551340744834e-03,4.577464788732394513e-02
1.111837802485284542e-02,4.577464788732394513e-02
1.111837802485284542e-02,4.929577464788732072e-02
1.242642249836494427e-02,4.929577464788732072e-02
1.242642249836494427e-02,5.633802816901408578e-02
1.962066710268148967e-02,5.633802816901408578e-02
1.962066710268148967e-02,7.394366197183098455e-02
2.289077828646174026e-02,7.394366197183098455e-02
2.289077828646174026e-02,7.746478873239436014e-02
2.485284499672988853e-02,7.746478873239436014e-02
2.485284499672988853e-02,8.098591549295774961e-02
2.812295618051013565e-02,8.098591549295774961e-02
2.812295618051013565e-02,8.802816901408450079e-02
2.877697841726618855e-02,8.802816901408450079e-02
2.877697841726618855e-02,1.021126760563380309e-01
3.008502289077828740e-02,1.021126760563380309e-01
3.008502289077828740e-02,1.056338028169014065e-01
3.073904512753433682e-02,1.056338028169014065e-01
3.073904512753433682e-02,1.091549295774647821e-01
3.139306736429038625e-02,1.091549295774647821e-01
3.139306736429038625e-02,1.126760563380281716e-01
3.204708960104643567e-02,1.126760563380281716e-01
3.204708960104643567e-02,1.197183098591549227e-01
3.270111183780248509e-02,1.197183098591549227e-01
3.270111183780248509e-02,1.232394366197183122e-01
3.662524525833878164e-02,1.232394366197183122e-01
3.662524525833878164e-02,1.267605633802816878e-01
4.251144538914323340e-02,1.267605633802816878e-01
4.251144538914323340e-02,1.302816901408450634e-01
4.316546762589928282e-02,1.302816901408450634e-01
4.316546762589928282e-02,1.373239436619718423e-01
4.381948986265533225e-02,1.373239436619718423e-01
4.381948986265533225e-02,1.408450704225352179e-01
4.578155657292348052e-02,1.408450704225352179e-01
4.578155657292348052e-02,1.478873239436619691e-01
4.643557880967952994e-02,1.478873239436619691e-01
4.643557880967952994e-02,1.514084507042253447e-01
4.839764551994767822e-02,1.514084507042253447e-01
4.839764551994767822e-02,1.584507042253521236e-01
5.035971223021582649e-02,1.584507042253521236e-01
5.035971223021582649e-02,1.619718309859154992e-01
5.101373446697187591e-02,1.619718309859154992e-01
5.101373446697187591e-02,1.690140845070422504e-01
5.232177894048397476e-02,1.690140845070422504e-01
5.232177894048397476e-02,1.760563380281690016e-01
5.624591236102027131e-02,1.760563380281690016e-01
5.624591236102027131e-02,1.830985915492957805e-01
6.278613472858077249e-02,1.830985915492957805e-01
6.278613472858077249e-02,1.866197183098591561e-01
6.671026814911706904e-02,1.866197183098591561e-01
6.671026814911706904e-02,1.901408450704225317e-01
6.736429038587311846e-02,1.901408450704225317e-01
6.736429038587311846e-02,1.936619718309859073e-01
6.867233485938521731e-02,1.936619718309859073e-01
6.998037933289731616e-02,1.936619718309859073e-01
7.652060170045781040e-02,1.936619718309859073e-01
7.652060170045781040e-02,1.971830985915492829e-01
7.717462393721385983e-02,1.971830985915492829e-01
7.717462393721385983e-02,2.007042253521126862e-01
7.979071288423805752e-02,2.007042253521126862e-01
7.979071288423805752e-02,2.042253521126760618e-01
8.109875735775017025e-02,2.042253521126760618e-01
8.109875735775017025e-02,2.077464788732394374e-01
8.240680183126226910e-02,2.077464788732394374e-01
8.240680183126226910e-02,2.147887323943661886e-01
8.306082406801831852e-02,2.147887323943661886e-01
8.306082406801831852e-02,2.183098591549295642e-01
8.698495748855461507e-02,2.183098591549295642e-01
8.698495748855461507e-02,2.253521126760563431e-01
8.829300196206671392e-02,2.253521126760563431e-01
8.829300196206671392e-02,2.288732394366197187e-01
8.894702419882276334e-02,2.288732394366197187e-01
8.894702419882276334e-02,2.323943661971830943e-01
9.025506867233486219e-02,2.323943661971830943e-01
9.025506867233486219e-02,2.359154929577464699e-01
9.090909090909091161e-02,2.359154929577464699e-01
9.090909090909091161e-02,2.394366197183098455e-01
9.156311314584696104e-02,2.394366197183098455e-01
9.156311314584696104e-02,2.429577464788732488e-01
9.221713538260301046e-02,2.429577464788732488e-01
9.221713538260301046e-02,2.500000000000000000e-01
9.287115761935905989e-02,2.500000000000000000e-01
9.287115761935905989e-02,2.535211267605633756e-01
9.548724656638325758e-02,2.535211267605633756e-01
9.548724656638325758e-02,2.570422535211267512e-01
9.614126880313930701e-02,2.570422535211267512e-01
9.614126880313930701e-02,2.605633802816901268e-01
9.875735775016350471e-02,2.605633802816901268e-01
9.875735775016350471e-02,2.640845070422535024e-01
1.007194244604316530e-01,2.640845070422535024e-01
1.007194244604316530e-01,2.676056338028168780e-01
1.033355134074558507e-01,2.676056338028168780e-01
1.033355134074558507e-01,2.711267605633803091e-01
1.059516023544800484e-01,2.711267605633803091e-01
1.059516023544800484e-01,2.746478873239436846e-01
1.072596468279921472e-01,2.746478873239436846e-01
1.072596468279921472e-01,2.781690140845070602e-01
1.118378024852844932e-01,2.781690140845070602e-01
1.118378024852844932e-01,2.816901408450704358e-01
1.124918247220405426e-01,2.816901408450704358e-01
1.124918247220405426e-01,2.852112676056338114e-01
1.144538914323087048e-01,2.852112676056338114e-01
1.144538914323087048e-01,2.887323943661971870e-01
1.157619359058208036e-01,2.887323943661971870e-01
1.157619359058208036e-01,2.922535211267605626e-01
1.164159581425768530e-01,2.922535211267605626e-01
1.164159581425768530e-01,3.028169014084506894e-01
1.177240026160889519e-01,3.028169014084506894e-01
1.177240026160889519e-01,3.063380281690140650e-01
1.203400915631131496e-01,3.063380281690140650e-01
1.203400915631131496e-01,3.133802816901408717e-01
1.242642249836494461e-01,3.133802816901408717e-01
1.242642249836494461e-01,3.169014084507042472e-01
1.249182472204054956e-01,3.169014084507042472e-01
1.249182472204054956e-01,3.204225352112676228e-01
1.262262916939175805e-01,3.204225352112676228e-01
1.262262916939175805e-01,3.239436619718309984e-01
1.281883584041857427e-01,3.239436619718309984e-01
1.281883584041857427e-01,3.274647887323943740e-01
1.314584695879660037e-01,3.274647887323943740e-01
1.314584695879660037e-01,3.309859154929577496e-01
1.347285807717462369e-01,3.309859154929577496e-01
1.347285807717462369e-01,3.345070422535211252e-01
1.360366252452583358e-01,3.345070422535211252e-01
1.360366252452583358e-01,3.380281690140845008e-01
1.379986919555264979e-01,3.380281690140845008e-01
1.379986919555264979e-01,3.415492957746478764e-01
1.419228253760627945e-01,3.415492957746478764e-01
1.419228253760627945e-01,3.450704225352112520e-01
1.438848920863309289e-01,3.450704225352112520e-01
1.438848920863309289e-01,3.485915492957746276e-01
1.471550032701111899e-01,3.485915492957746276e-01
1.471550032701111899e-01,3.556338028169014343e-01
1.536952256376716841e-01,3.556338028169014343e-01
1.536952256376716841e-01,3.591549295774648098e-01
1.621975147155003405e-01,3.591549295774648098e-01
1.621975147155003405e-01,3.626760563380281854e-01
1.654676258992805737e-01,3.626760563380281854e-01
1.654676258992805737e-01,3.661971830985915610e-01
1.667756703727926726e-01,3.661971830985915610e-01
1.667756703727926726e-01,3.697183098591549366e-01
1.687377370830608347e-01,3.697183098591549366e-01
1.687377370830608347e-01,3.767605633802816878e-01
1.726618705035971313e-01,3.767605633802816878e-01
1.726618705035971313e-01,3.802816901408450634e-01
1.733158927403531668e-01,3.802816901408450634e-01
1.733158927403531668e-01,3.838028169014084390e-01
1.752779594506213290e-01,3.838028169014084390e-01
1.752779594506213290e-01,3.873239436619718146e-01
1.765860039241334278e-01,3.873239436619718146e-01
1.765860039241334278e-01,3.908450704225351902e-01
1.785480706344015622e-01,3.908450704225351902e-01
1.785480706344015622e-01,3.943661971830985657e-01
1.818181818181818232e-01,3.943661971830985657e-01
1.818181818181818232e-01,3.978873239436619969e-01
1.857423152387181198e-01,3.978873239436619969e-01
1.857423152387181198e-01,4.014084507042253724e-01
1.863963374754741553e-01,4.014084507042253724e-01
1.863963374754741553e-01,4.049295774647887480e-01
1.877043819489862542e-01,4.049295774647887480e-01
1.877043819489862542e-01,4.154929577464788748e-01
1.883584041857423175e-01,4.154929577464788748e-01
1.883584041857423175e-01,4.190140845070422504e-01
1.896664486592544163e-01,4.190140845070422504e-01
1.896664486592544163e-01,4.225352112676056260e-01
1.909744931327665152e-01,4.225352112676056260e-01
1.942446043165467762e-01,4.225352112676056260e-01
1.942446043165467762e-01,4.260563380281690016e-01
1.981687377370830727e-01,4.260563380281690016e-01
1.981687377370830727e-01,4.295774647887323772e-01
2.014388489208633060e-01,4.295774647887323772e-01
2.014388489208633060e-01,4.330985915492957528e-01
2.020928711576193693e-01,4.330985915492957528e-01
2.020928711576193693e-01,4.366197183098591283e-01
2.040549378678875037e-01,4.366197183098591283e-01
2.040549378678875037e-01,4.401408450704225594e-01
2.092871157619358990e-01,4.401408450704225594e-01
2.092871157619358990e-01,4.436619718309859350e-01
2.125572269457161600e-01,4.436619718309859350e-01
2.125572269457161600e-01,4.471830985915493106e-01
2.145192936559842944e-01,4.471830985915493106e-01
2.145192936559842944e-01,4.507042253521126862e-01
2.171353826030084921e-01,4.507042253521126862e-01
2.171353826030084921e-01,4.542253521126760618e-01
2.197514715500326898e-01,4.542253521126760618e-01
2.197514715500326898e-01,4.577464788732394374e-01
2.204054937867887531e-01,4.577464788732394374e-01
2.204054937867887531e-01,4.683098591549295642e-01
2.210595160235447887e-01,4.683098591549295642e-01
2.210595160235447887e-01,4.718309859154929398e-01
2.230215827338129508e-01,4.718309859154929398e-01
2.230215827338129508e-01,4.753521126760563154e-01
2.262916939175932118e-01,4.753521126760563154e-01
2.262916939175932118e-01,4.823943661971831220e-01
2.282537606278613462e-01,4.823943661971831220e-01
2.282537606278613462e-01,4.859154929577464976e-01
2.295618051013734451e-01,4.859154929577464976e-01
2.308698495748855439e-01,4.859154929577464976e-01
2.315238718116416072e-01,4.859154929577464976e-01
2.315238718116416072e-01,4.894366197183098732e-01
2.387181164159581370e-01,4.894366197183098732e-01
2.387181164159581370e-01,4.929577464788732488e-01
2.419882275997383980e-01,4.929577464788732488e-01
2.419882275997383980e-01,4.964788732394366244e-01
2.432962720732504969e-01,4.964788732394366244e-01
2.432962720732504969e-01,5.000000000000000000e-01
2.446043165467625957e-01,5.000000000000000000e-01
2.446043165467625957e-01,5.035211267605633756e-01
2.459123610202746946e-01,5.035211267605633756e-01
2.459123610202746946e-01,5.070422535211267512e-01
2.465663832570307301e-01,5.070422535211267512e-01
2.465663832570307301e-01,5.105633802816901268e-01
2.485284499672988923e-01,5.105633802816901268e-01
2.485284499672988923e-01,5.176056338028168780e-01
2.537606278613472877e-01,5.176056338028168780e-01
2.537606278613472877e-01,5.211267605633802535e-01
2.544146500981033232e-01,5.211267605633802535e-01
2.544146500981033232e-01,5.246478873239436291e-01
2.642249836494440784e-01,5.246478873239436291e-01
2.642249836494440784e-01,5.281690140845070047e-01
2.661870503597122406e-01,5.281690140845070047e-01
2.661870503597122406e-01,5.316901408450703803e-01
2.740353172007848337e-01,5.316901408450703803e-01
2.740353172007848337e-01,5.352112676056337559e-01
2.753433616742969048e-01,5.352112676056337559e-01
2.753433616742969048e-01,5.422535211267606181e-01
2.779594506213211025e-01,5.422535211267606181e-01
2.779594506213211025e-01,5.528169014084507449e-01
2.812295618051013912e-01,5.528169014084507449e-01
2.812295618051013912e-01,5.563380281690141205e-01
2.818835840418574268e-01,5.563380281690141205e-01
2.818835840418574268e-01,5.598591549295774961e-01
2.825376062786134623e-01,5.598591549295774961e-01
2.825376062786134623e-01,5.633802816901408717e-01
2.897318508829300199e-01,5.633802816901408717e-01
2.897318508829300199e-01,5.669014084507042472e-01
2.903858731196860554e-01,5.669014084507042472e-01
2.916939175931981820e-01,5.669014084507042472e-01
2.923479398299542176e-01,5.669014084507042472e-01
2.923479398299542176e-01,5.704225352112676228e-01
2.956180510137344508e-01,5.704225352112676228e-01
2.956180510137344508e-01,5.739436619718309984e-01
2.975801177240026130e-01,5.739436619718309984e-01
2.975801177240026130e-01,5.774647887323943740e-01
2.988881621975147396e-01,5.774647887323943740e-01
2.988881621975147396e-01,5.809859154929577496e-01
2.995421844342707751e-01,5.809859154929577496e-01
2.995421844342707751e-01,5.845070422535211252e-01
3.001962066710268107e-01,5.845070422535211252e-01
3.001962066710268107e-01,5.880281690140845008e-01
3.008502289077828462e-01,5.880281690140845008e-01
3.021582733812949728e-01,5.880281690140845008e-01
3.021582733812949728e-01,5.915492957746478764e-01
3.073904512753433682e-01,5.915492957746478764e-01
3.073904512753433682e-01,5.985915492957746276e-01
3.100065402223675659e-01,5.985915492957746276e-01
3.100065402223675659e-01,6.021126760563380031e-01
3.145846958796599258e-01,6.021126760563380031e-01
3.145846958796599258e-01,6.056338028169013787e-01
3.178548070634401590e-01,6.056338028169013787e-01
3.178548070634401590e-01,6.091549295774647543e-01
3.237410071942445899e-01,6.091549295774647543e-01
3.237410071942445899e-01,6.126760563380281299e-01
3.250490516677567165e-01,6.126760563380281299e-01
3.250490516677567165e-01,6.161971830985915055e-01
3.263570961412687876e-01,6.161971830985915055e-01
3.315892740353171830e-01,6.161971830985915055e-01
3.315892740353171830e-01,6.197183098591548811e-01
3.335513407455853452e-01,6.197183098591548811e-01
3.335513407455853452e-01,6.232394366197182567e-01
3.361674296926095429e-01,6.232394366197182567e-01
3.361674296926095429e-01,6.267605633802817433e-01
3.387835186396337406e-01,6.267605633802817433e-01
3.387835186396337406e-01,6.302816901408451189e-01
3.413996075866579383e-01,6.302816901408451189e-01
3.413996075866579383e-01,6.338028169014084945e-01
3.485938521909744958e-01,6.338028169014084945e-01
3.499018966644865669e-01,6.338028169014084945e-01
3.544800523217789268e-01,6.338028169014084945e-01
3.544800523217789268e-01,6.373239436619718701e-01
3.616742969260954843e-01,6.373239436619718701e-01
3.616742969260954843e-01,6.408450704225352457e-01
3.636363636363636465e-01,6.408450704225352457e-01
3.636363636363636465e-01,6.443661971830986213e-01
3.675604970568999152e-01,6.443661971830986213e-01
3.675604970568999152e-01,6.478873239436619969e-01
3.688685415304120419e-01,6.478873239436619969e-01
3.688685415304120419e-01,6.549295774647887480e-01
3.721386527141922751e-01,6.549295774647887480e-01
3.721386527141922751e-01,6.584507042253521236e-01
3.793328973185088326e-01,6.584507042253521236e-01
3.793328973185088326e-01,6.619718309859154992e-01
3.930673642903858567e-01,6.619718309859154992e-01
3.930673642903858567e-01,6.654929577464788748e-01
3.969914977109221810e-01,6.654929577464788748e-01
3.969914977109221810e-01,6.690140845070422504e-01
4.185742315238717981e-01,6.690140845070422504e-01
4.185742315238717981e-01,6.725352112676056260e-01
4.388489208633093441e-01,6.725352112676056260e-01
4.388489208633093441e-01,6.760563380281690016e-01
4.401569653368214707e-01,6.760563380281690016e-01
4.401569653368214707e-01,6.795774647887323772e-01
4.421190320470895774e-01,6.795774647887323772e-01
4.421190320470895774e-01,6.830985915492957528e-01
4.493132766514061349e-01,6.830985915492957528e-01
4.506213211249182615e-01,6.830985915492957528e-01
4.538914323086984948e-01,6.830985915492957528e-01
4.538914323086984948e-01,6.866197183098591283e-01
4.571615434924787280e-01,6.866197183098591283e-01
4.571615434924787280e-01,6.901408450704225039e-01
4.591236102027468902e-01,6.901408450704225039e-01
4.591236102027468902e-01,6.936619718309858795e-01
4.780902550686723096e-01,6.936619718309858795e-01
4.793982995421844362e-01,6.936619718309858795e-01
4.937867887508175513e-01,6.936619718309858795e-01
4.937867887508175513e-01,6.971830985915492551e-01
