FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.623188405797101493e-03
1.636661211129296313e-03,3.623188405797101493e-03
1.636661211129296313e-03,7.246376811594202987e-03
3.273322422258592625e-03,7.246376811594202987e-03
3.273322422258592625e-03,1.086956521739130405e-02
4.091653027823240890e-03,1.086956521739130405e-02
4.091653027823240890e-03,1.449275362318840597e-02
9.001636661211129611e-03,1.449275362318840597e-02
9.001636661211129611e-03,1.811594202898550790e-02
9.819967266775777442e-03,1.811594202898550790e-02
9.819967266775777442e-03,2.173913043478260809e-02
1.472995090016366616e-02,2.173913043478260809e-02
1.472995090016366616e-02,2.536231884057971175e-02
1.882160392798690532e-02,2.536231884057971175e-02
1.882160392798690532e-02,2.898550724637681195e-02
2.373158756137479578e-02,2.898550724637681195e-02
2.373158756137479578e-02,3.260869565217391214e-02
2.700490998363338710e-02,3.260869565217391214e-02
2.700490998363338710e-02,3.623188405797101580e-02
3.027823240589198189e-02,3.623188405797101580e-02
3.027823240589198189e-02,3.985507246376811252e-02
3.191489361702127409e-02,3.985507246376811252e-02
3.191489361702127409e-02,4.347826086956521618e-02
3.355155482815057322e-02,4.347826086956521618e-02
3.355155482815057322e-02,4.710144927536231985e-02
3.600654664484451845e-02,4.710144927536231985e-02
3.600654664484451845e-02,5.072463768115942351e-02
3.764320785597381064e-02,5.072463768115942351e-02
3.764320785597381064e-02,5.434782608695652023e-02
3.846153846153846367e-02,5.434782608695652023e-02
3.846153846153846367e-02,6.159420289855072755e-02
4.009819967266775587e-02,6.159420289855072755e-02
4.009819967266775587e-02,6.521739130434782428e-02
4.418985270049100023e-02,6.521739130434782428e-02
4.418985270049100023e-02,6.884057971014492794e-02
4.582651391162029242e-02,6.884057971014492794e-02
4.582651391162029242e-02,7.246376811594203160e-02
4.909983633387888374e-02,7.246376811594203160e-02
4.909983633387888374e-02,7.608695652173913526e-02
5.400981996726677420e-02,7.608695652173913526e-02
5.400981996726677420e-02,7.971014492753622505e-02
5.646481178396071943e-02,7.971014492753622505e-02
5.646481178396071943e-02,8.333333333333332871e-02
6.137479541734860988e-02,8.333333333333332871e-02
6.137479541734860988e-02,8.695652173913043237e-02
6.382978723404254817e-02,8.695652173913043237e-02
6.382978723404254817e-02,9.057971014492753603e-02
6.464811783960720815e-02,9.057971014492753603e-02
6.464811783960720815e-02,9.420289855072463969e-02
6.628477905073650034e-02,9.420289855072463969e-02
6.628477905073650034e-02,1.014492753623188470e-01
7.037643207855974470e-02,1.014492753623188470e-01
7.037643207855974470e-02,1.086956521739130405e-01
7.201309328968903689e-02,1.086956521739130405e-01
7.201309328968903689e-02,1.123188405797101441e-01
7.283142389525368299e-02,1.123188405797101441e-01
7.283142389525368299e-02,1.159420289855072478e-01
7.774140752864157344e-02,1.159420289855072478e-01
7.774140752864157344e-02,1.195652173913043514e-01
8.592471358428804828e-02,1.195652173913043514e-01
8.592471358428804828e-02,1.268115942028985588e-01
9.001636661211129264e-02,1.268115942028985588e-01
9.001636661211129264e-02,1.304347826086956486e-01
9.165302782324058484e-02,1.304347826086956486e-01
9.165302782324058484e-02,1.340579710144927661e-01
9.574468085106382920e-02,1.340579710144927661e-01
9.574468085106382920e-02,1.376811594202898559e-01
9.819967266775776749e-02,1.376811594202898559e-01
9.819967266775776749e-02,1.485507246376811530e-01
1.022913256955810118e-01,1.485507246376811530e-01
1.022913256955810118e-01,1.521739130434782705e-01
1.063829787234042562e-01,1.521739130434782705e-01
1.063829787234042562e-01,1.557971014492753603e-01
1.104746317512275006e-01,1.557971014492753603e-01
1.104746317512275006e-01,1.666666666666666574e-01
1.153846153846153910e-01,1.666666666666666574e-01
1.153846153846153910e-01,1.702898550724637750e-01
1.194762684124386215e-01,1.702898550724637750e-01
1.194762684124386215e-01,1.739130434782608647e-01
1.211129296235679276e-01,1.739130434782608647e-01
1.211129296235679276e-01,1.775362318840579823e-01
1.235679214402618659e-01,1.775362318840579823e-01
1.235679214402618659e-01,1.811594202898550721e-01
1.260229132569558042e-01,1.811594202898550721e-01
1.260229132569558042e-01,1.847826086956521618e-01
1.268412438625204641e-01,1.847826086956521618e-01
1.268412438625204641e-01,1.956521739130434867e-01
1.292962356792144163e-01,1.956521739130434867e-01
1.292962356792144163e-01,1.992753623188405765e-01
1.333878887070376329e-01,1.992753623188405765e-01
1.333878887070376329e-01,2.101449275362318736e-01
1.366612111292962450e-01,2.101449275362318736e-01
1.366612111292962450e-01,2.137681159420289911e-01
1.391162029459901694e-01,2.137681159420289911e-01
1.391162029459901694e-01,2.173913043478260809e-01
1.456628477905073660e-01,2.173913043478260809e-01
1.456628477905073660e-01,2.210144927536231985e-01
1.472995090016366582e-01,2.210144927536231985e-01
1.472995090016366582e-01,2.282608695652173780e-01
1.522094926350245625e-01,2.282608695652173780e-01
1.522094926350245625e-01,2.318840579710144956e-01
1.530278232405891947e-01,2.318840579710144956e-01
1.546644844517184869e-01,2.318840579710144956e-01
1.563011456628477791e-01,2.318840579710144956e-01
1.563011456628477791e-01,2.355072463768115854e-01
1.620294599018003157e-01,2.355072463768115854e-01
1.620294599018003157e-01,2.391304347826087029e-01
1.628477905073649756e-01,2.391304347826087029e-01
1.628477905073649756e-01,2.427536231884057927e-01
1.669394435351882200e-01,2.427536231884057927e-01
1.669394435351882200e-01,2.463768115942029102e-01
1.677577741407528522e-01,2.463768115942029102e-01
1.677577741407528522e-01,2.536231884057971175e-01
1.693944353518821722e-01,2.536231884057971175e-01
1.693944353518821722e-01,2.572463768115941796e-01
1.726677577741407565e-01,2.572463768115941796e-01
1.726677577741407565e-01,2.608695652173912971e-01
1.783960720130932931e-01,2.608695652173912971e-01
1.783960720130932931e-01,2.717391304347825942e-01
1.816693944353518775e-01,2.717391304347825942e-01
1.816693944353518775e-01,2.789855072463768293e-01
1.824877250409165375e-01,2.789855072463768293e-01
1.824877250409165375e-01,2.826086956521738913e-01
1.857610474631751218e-01,2.826086956521738913e-01
1.857610474631751218e-01,2.898550724637681264e-01
1.906710310965629984e-01,2.898550724637681264e-01
1.906710310965629984e-01,2.934782608695652439e-01
1.923076923076923184e-01,2.934782608695652439e-01
1.923076923076923184e-01,2.971014492753623060e-01
1.980360065466448549e-01,2.971014492753623060e-01
1.980360065466448549e-01,3.043478260869565410e-01
1.988543371522094871e-01,3.043478260869565410e-01
1.988543371522094871e-01,3.079710144927536031e-01
2.029459901800327315e-01,3.079710144927536031e-01
2.029459901800327315e-01,3.152173913043478382e-01
2.062193126022913159e-01,3.152173913043478382e-01
2.062193126022913159e-01,3.188405797101449002e-01
2.078559738134206081e-01,3.188405797101449002e-01
2.078559738134206081e-01,3.224637681159420177e-01
2.111292962356792202e-01,3.224637681159420177e-01
2.111292962356792202e-01,3.260869565217391353e-01
2.119476268412438524e-01,3.260869565217391353e-01
2.119476268412438524e-01,3.333333333333333148e-01
2.152209492635024646e-01,3.333333333333333148e-01
2.152209492635024646e-01,3.405797101449275499e-01
2.299509001636661221e-01,3.405797101449275499e-01
2.299509001636661221e-01,3.442028985507246119e-01
2.348608837970539986e-01,3.442028985507246119e-01
2.348608837970539986e-01,3.478260869565217295e-01
2.373158756137479508e-01,3.478260869565217295e-01
2.373158756137479508e-01,3.514492753623188470e-01
2.397708674304419030e-01,3.514492753623188470e-01
2.397708674304419030e-01,3.550724637681159646e-01
2.422258592471358551e-01,3.550724637681159646e-01
2.422258592471358551e-01,3.586956521739130266e-01
2.471358428805237317e-01,3.586956521739130266e-01
2.471358428805237317e-01,3.659420289855072617e-01
2.536824877250409283e-01,3.659420289855072617e-01
2.536824877250409283e-01,3.695652173913043237e-01
2.553191489361701927e-01,3.695652173913043237e-01
2.553191489361701927e-01,3.840579710144927383e-01
2.561374795417348804e-01,3.840579710144927383e-01
2.561374795417348804e-01,3.876811594202898559e-01
2.569558101472995126e-01,3.876811594202898559e-01
2.569558101472995126e-01,3.913043478260869734e-01
2.618657937806874170e-01,3.913043478260869734e-01
2.618657937806874170e-01,3.949275362318840354e-01
2.831423895253682432e-01,3.949275362318840354e-01
2.831423895253682432e-01,3.985507246376811530e-01
2.839607201309328754e-01,3.985507246376811530e-01
2.839607201309328754e-01,4.021739130434782705e-01
2.855973813420621954e-01,4.021739130434782705e-01
2.855973813420621954e-01,4.057971014492753881e-01
2.905073649754500997e-01,4.057971014492753881e-01
2.905073649754500997e-01,4.094202898550724501e-01
2.929623567921440519e-01,4.094202898550724501e-01
2.929623567921440519e-01,4.130434782608695676e-01
2.945990180032733163e-01,4.130434782608695676e-01
2.945990180032733163e-01,4.166666666666666852e-01
3.003273322422258529e-01,4.166666666666666852e-01
3.003273322422258529e-01,4.202898550724637472e-01
3.019639934533551728e-01,4.202898550724637472e-01
3.019639934533551728e-01,4.239130434782608647e-01
3.068739770867430217e-01,4.239130434782608647e-01
3.068739770867430217e-01,4.275362318840579823e-01
3.076923076923077094e-01,4.275362318840579823e-01
3.076923076923077094e-01,4.311594202898550998e-01
3.109656301145662938e-01,4.311594202898550998e-01
3.109656301145662938e-01,4.347826086956521618e-01
3.134206219312602459e-01,4.347826086956521618e-01
3.134206219312602459e-01,4.384057971014492794e-01
3.142389525368248782e-01,4.384057971014492794e-01
3.142389525368248782e-01,4.420289855072463969e-01
3.158756137479541981e-01,4.420289855072463969e-01
3.158756137479541981e-01,4.492753623188405765e-01
3.166939443535188303e-01,4.492753623188405765e-01
3.166939443535188303e-01,4.565217391304347561e-01
3.199672667757774147e-01,4.565217391304347561e-01
3.199672667757774147e-01,4.601449275362318736e-01
3.224222585924713669e-01,4.601449275362318736e-01
3.224222585924713669e-01,4.637681159420289911e-01
3.256955810147299513e-01,4.637681159420289911e-01
3.256955810147299513e-01,4.673913043478261087e-01
3.289689034369885356e-01,4.673913043478261087e-01
3.289689034369885356e-01,4.710144927536231707e-01
3.355155482815057044e-01,4.710144927536231707e-01
3.355155482815057044e-01,4.891304347826087029e-01
3.371522094926350244e-01,4.891304347826087029e-01
3.371522094926350244e-01,4.927536231884058204e-01
3.379705400981996566e-01,4.927536231884058204e-01
3.379705400981996566e-01,4.963768115942028825e-01
3.396072013093289765e-01,4.963768115942028825e-01
3.396072013093289765e-01,5.000000000000000000e-01
3.404255319148936088e-01,5.000000000000000000e-01
