FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.183431952662721909e-03
0.000000000000000000e+00,1.301775147928994035e-02
3.944773175542406183e-04,1.301775147928994035e-02
3.944773175542406183e-04,2.130177514792899393e-02
7.889546351084812366e-04,2.130177514792899393e-02
7.889546351084812366e-04,2.840236686390532408e-02
1.183431952662721909e-03,2.840236686390532408e-02
1.183431952662721909e-03,3.195266272189348916e-02
1.577909270216962473e-03,3.195266272189348916e-02
1.577909270216962473e-03,3.431952662721893255e-02
1.972386587771203254e-03,3.431952662721893255e-02
1.972386587771203254e-03,3.668639053254437593e-02
2.366863905325443818e-03,3.668639053254437593e-02
2.366863905325443818e-03,3.786982248520710109e-02
3.550295857988165511e-03,3.786982248520710109e-02
3.550295857988165511e-03,4.260355029585798786e-02
3.944773175542406508e-03,4.260355029585798786e-02
3.944773175542406508e-03,4.615384615384615641e-02
4.339250493096647072e-03,4.615384615384615641e-02
4.339250493096647072e-03,4.852071005917159979e-02
4.733727810650887637e-03,4.852071005917159979e-02
4.733727810650887637e-03,5.088757396449704318e-02
5.128205128205128201e-03,5.088757396449704318e-02
5.128205128205128201e-03,5.798816568047337333e-02
5.522682445759368765e-03,5.798816568047337333e-02
5.522682445759368765e-03,6.508875739644970349e-02
5.917159763313609329e-03,6.508875739644970349e-02
5.917159763313609329e-03,6.863905325443786509e-02
7.100591715976331021e-03,6.863905325443786509e-02
7.100591715976331021e-03,7.100591715976331542e-02
7.889546351084813017e-03,7.100591715976331542e-02
7.889546351084813017e-03,7.218934911242604058e-02
8.678500986193294145e-03,7.218934911242604058e-02
8.678500986193294145e-03,7.337278106508875186e-02
9.467455621301775273e-03,7.337278106508875186e-02
9.467455621301775273e-03,7.692307692307692735e-02
1.025641025641025640e-02,7.692307692307692735e-02
1.025641025641025640e-02,7.810650887573963863e-02
1.065088757396449697e-02,7.810650887573963863e-02
1.065088757396449697e-02,7.928994082840236379e-02
1.222879684418145922e-02,7.928994082840236379e-02
1.222879684418145922e-02,8.047337278106508895e-02
1.262327416173569979e-02,8.047337278106508895e-02
1.262327416173569979e-02,8.165680473372781412e-02
1.380670611439842148e-02,8.165680473372781412e-02
1.380670611439842148e-02,8.284023668639053928e-02
1.459566074950690261e-02,8.284023668639053928e-02
1.459566074950690261e-02,8.520710059171597572e-02
1.499013806706114317e-02,8.520710059171597572e-02
1.499013806706114317e-02,8.639053254437870089e-02
1.538461538461538547e-02,8.639053254437870089e-02
1.538461538461538547e-02,9.112426035502958765e-02
1.854043392504930998e-02,9.112426035502958765e-02
1.854043392504930998e-02,9.230769230769231282e-02
1.932938856015779111e-02,9.230769230769231282e-02
1.932938856015779111e-02,9.349112426035502410e-02
2.011834319526627224e-02,9.349112426035502410e-02
2.011834319526627224e-02,9.467455621301774926e-02
2.051282051282051280e-02,9.467455621301774926e-02
2.051282051282051280e-02,9.822485207100591087e-02
2.090729783037475337e-02,9.822485207100591087e-02
2.090729783037475337e-02,9.940828402366863603e-02
2.130177514792899393e-02,9.940828402366863603e-02
2.130177514792899393e-02,1.065088757396449731e-01
2.209072978303747506e-02,1.065088757396449731e-01
2.209072978303747506e-02,1.076923076923076983e-01
2.327416173570019675e-02,1.076923076923076983e-01
2.327416173570019675e-02,1.088757396449704096e-01
2.366863905325443732e-02,1.088757396449704096e-01
2.366863905325443732e-02,1.100591715976331347e-01
2.445759368836291844e-02,1.100591715976331347e-01
2.445759368836291844e-02,1.195266272189349083e-01
2.564102564102564014e-02,1.195266272189349083e-01
2.564102564102564014e-02,1.207100591715976334e-01
2.721893491124260239e-02,1.207100591715976334e-01
2.721893491124260239e-02,1.218934911242603586e-01
2.761341222879684296e-02,1.218934911242603586e-01
2.761341222879684296e-02,1.301775147928994070e-01
2.800788954635108352e-02,1.301775147928994070e-01
2.800788954635108352e-02,1.349112426035503076e-01
3.037475345167652691e-02,1.349112426035503076e-01
3.037475345167652691e-02,1.360946745562130189e-01
3.076923076923077094e-02,1.360946745562130189e-01
3.076923076923077094e-02,1.384615384615384692e-01
3.195266272189348916e-02,1.384615384615384692e-01
3.195266272189348916e-02,1.408284023668638918e-01
3.234714003944773320e-02,1.408284023668638918e-01
3.234714003944773320e-02,1.491124260355029540e-01
3.313609467455621432e-02,1.491124260355029540e-01
3.313609467455621432e-02,1.502958579881656931e-01
3.510848126232741367e-02,1.502958579881656931e-01
3.510848126232741367e-02,1.538461538461538547e-01
3.589743589743589480e-02,1.538461538461538547e-01
3.589743589743589480e-02,1.562130177514792773e-01
3.629191321499013884e-02,1.562130177514792773e-01
3.629191321499013884e-02,1.621301775147928892e-01
3.865877712031558222e-02,1.621301775147928892e-01
3.865877712031558222e-02,1.644970414201183395e-01
3.905325443786981932e-02,1.644970414201183395e-01
3.905325443786981932e-02,1.704142011834319514e-01
3.944773175542406335e-02,1.704142011834319514e-01
3.944773175542406335e-02,1.763313609467455634e-01
3.984220907297830044e-02,1.763313609467455634e-01
3.984220907297830044e-02,1.775147928994082747e-01
4.023668639053254448e-02,1.775147928994082747e-01
4.023668639053254448e-02,1.810650887573964363e-01
4.260355029585798786e-02,1.810650887573964363e-01
4.260355029585798786e-02,1.822485207100591753e-01
4.299802761341223190e-02,1.822485207100591753e-01
4.299802761341223190e-02,1.846153846153846256e-01
4.339250493096646899e-02,1.846153846153846256e-01
4.339250493096646899e-02,1.857988165680473369e-01
4.378698224852071302e-02,1.857988165680473369e-01
4.378698224852071302e-02,1.869822485207100482e-01
4.654832347140039350e-02,1.869822485207100482e-01
4.654832347140039350e-02,1.905325443786982376e-01
4.733727810650887463e-02,1.905325443786982376e-01
4.733727810650887463e-02,1.917159763313609488e-01
4.773175542406311866e-02,1.917159763313609488e-01
4.773175542406311866e-02,1.928994082840236601e-01
4.812623274161735576e-02,1.928994082840236601e-01
4.891518737672583689e-02,1.928994082840236601e-01
4.970414201183431802e-02,1.928994082840236601e-01
4.970414201183431802e-02,1.976331360946745608e-01
5.049309664694279914e-02,1.976331360946745608e-01
5.049309664694279914e-02,1.988165680473372721e-01
5.246548323471400543e-02,1.988165680473372721e-01
5.246548323471400543e-02,2.011834319526627224e-01
5.285996055226824253e-02,2.011834319526627224e-01
5.285996055226824253e-02,2.023668639053254337e-01
5.404339250493096769e-02,2.023668639053254337e-01
5.404339250493096769e-02,2.047337278106508840e-01
5.483234714003944882e-02,2.047337278106508840e-01
5.483234714003944882e-02,2.059171597633136230e-01
5.641025641025641107e-02,2.059171597633136230e-01
5.641025641025641107e-02,2.082840236686390456e-01
5.719921104536489220e-02,2.082840236686390456e-01
5.719921104536489220e-02,2.106508875739644959e-01
5.759368836291912930e-02,2.106508875739644959e-01
5.759368836291912930e-02,2.142011834319526575e-01
5.877712031558185446e-02,2.142011834319526575e-01
5.877712031558185446e-02,2.165680473372781079e-01
5.956607495069033559e-02,2.165680473372781079e-01
5.956607495069033559e-02,2.177514792899408191e-01
5.996055226824457268e-02,2.177514792899408191e-01
