FPR,TPR
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.831501831501831500e-03
6.105006105006105001e-04,1.831501831501831500e-03
6.105006105006105001e-04,7.326007326007326001e-03
1.221001221001221000e-03,7.326007326007326001e-03
1.221001221001221000e-03,1.282051282051282007e-02
1.831501831501831500e-03,1.282051282051282007e-02
1.831501831501831500e-03,1.465201465201465200e-02
2.442002442002442000e-03,1.465201465201465200e-02
2.442002442002442000e-03,2.930402930402930400e-02
3.052503052503052500e-03,2.930402930402930400e-02
3.052503052503052500e-03,3.663003663003663174e-02
3.663003663003663000e-03,3.663003663003663174e-02
3.663003663003663000e-03,4.212454212454212754e-02
4.273504273504273934e-03,4.212454212454212754e-02
4.273504273504273934e-03,4.395604395604395948e-02
4.884004884004884001e-03,4.395604395604395948e-02
4.884004884004884001e-03,4.761904761904761640e-02
6.715506715506715935e-03,4.761904761904761640e-02
6.715506715506715935e-03,4.945054945054944834e-02
8.547008547008547868e-03,4.945054945054944834e-02
8.547008547008547868e-03,5.128205128205128027e-02
9.157509157509157935e-03,5.128205128205128027e-02
9.157509157509157935e-03,5.494505494505494414e-02
9.768009768009768001e-03,5.494505494505494414e-02
9.768009768009768001e-03,5.860805860805860801e-02
1.037851037851037807e-02,5.860805860805860801e-02
1.037851037851037807e-02,6.227106227106227188e-02
1.404151404151404194e-02,6.227106227106227188e-02
1.526251526251526207e-02,6.227106227106227188e-02
1.709401709401709574e-02,6.227106227106227188e-02
1.709401709401709574e-02,6.776556776556776074e-02
1.770451770451770407e-02,6.776556776556776074e-02
1.770451770451770407e-02,8.241758241758241621e-02
1.892551892551892420e-02,8.241758241758241621e-02
1.892551892551892420e-02,8.608058608058608008e-02
2.014652014652014780e-02,8.608058608058608008e-02
2.014652014652014780e-02,8.791208791208791895e-02
2.075702075702075614e-02,8.791208791208791895e-02
2.075702075702075614e-02,8.974358974358974395e-02
2.136752136752136794e-02,8.974358974358974395e-02
2.136752136752136794e-02,9.157509157509156894e-02
2.197802197802197974e-02,9.157509157509156894e-02
2.197802197802197974e-02,9.523809523809523281e-02
2.258852258852258807e-02,9.523809523809523281e-02
2.258852258852258807e-02,9.706959706959707168e-02
2.380952380952380820e-02,9.706959706959707168e-02
2.380952380952380820e-02,1.007326007326007355e-01
2.442002442002442000e-02,1.007326007326007355e-01
2.442002442002442000e-02,1.025641025641025605e-01
2.564102564102564014e-02,1.025641025641025605e-01
2.564102564102564014e-02,1.098901098901098883e-01
2.625152625152625194e-02,1.098901098901098883e-01
2.625152625152625194e-02,1.117216117216117272e-01
2.747252747252747207e-02,1.117216117216117272e-01
2.747252747252747207e-02,1.190476190476190410e-01
2.808302808302808387e-02,1.190476190476190410e-01
2.808302808302808387e-02,1.227106227106227049e-01
2.869352869352869220e-02,1.227106227106227049e-01
2.869352869352869220e-02,1.282051282051281937e-01
2.930402930402930400e-02,1.282051282051281937e-01
2.930402930402930400e-02,1.318681318681318715e-01
3.235653235653235954e-02,1.318681318681318715e-01
3.235653235653235954e-02,1.336996336996336965e-01
3.296703296703296787e-02,1.336996336996336965e-01
3.296703296703296787e-02,1.373626373626373742e-01
3.357753357753357620e-02,1.373626373626373742e-01
3.357753357753357620e-02,1.428571428571428492e-01
3.846153846153846367e-02,1.428571428571428492e-01
3.846153846153846367e-02,1.446886446886447020e-01
3.968253968253968034e-02,1.446886446886447020e-01
3.968253968253968034e-02,1.465201465201465270e-01
4.029304029304029561e-02,1.465201465201465270e-01
4.029304029304029561e-02,1.501831501831501769e-01
4.090354090354090394e-02,1.501831501831501769e-01
4.090354090354090394e-02,1.538461538461538547e-01
4.212454212454212754e-02,1.538461538461538547e-01
4.212454212454212754e-02,1.556776556776556797e-01
4.273504273504273587e-02,1.556776556776556797e-01
4.273504273504273587e-02,1.575091575091575047e-01
4.334554334554334420e-02,1.575091575091575047e-01
4.334554334554334420e-02,1.593406593406593297e-01
4.578754578754578447e-02,1.593406593406593297e-01
4.578754578754578447e-02,1.611721611721611824e-01
4.639804639804639974e-02,1.611721611721611824e-01
4.639804639804639974e-02,1.630036630036630074e-01
4.761904761904761640e-02,1.630036630036630074e-01
4.822954822954823167e-02,1.630036630036630074e-01
4.822954822954823167e-02,1.666666666666666574e-01
5.006105006105006361e-02,1.666666666666666574e-01
5.006105006105006361e-02,1.684981684981685102e-01
5.250305250305250387e-02,1.684981684981685102e-01
5.250305250305250387e-02,1.703296703296703352e-01
5.311355311355311221e-02,1.703296703296703352e-01
5.311355311355311221e-02,1.721611721611721602e-01
5.677655677655677607e-02,1.721611721611721602e-01
5.677655677655677607e-02,1.776556776556776629e-01
6.043956043956043994e-02,1.776556776556776629e-01
6.043956043956043994e-02,1.813186813186813129e-01
6.105006105006104827e-02,1.813186813186813129e-01
6.105006105006104827e-02,1.868131868131868156e-01
6.166056166056166354e-02,1.868131868131868156e-01
6.166056166056166354e-02,1.886446886446886406e-01
6.288156288156288021e-02,1.886446886446886406e-01
6.288156288156288021e-02,1.904761904761904656e-01
6.349206349206348854e-02,1.904761904761904656e-01
6.349206349206348854e-02,1.959706959706959684e-01
6.593406593406593574e-02,1.959706959706959684e-01
6.593406593406593574e-02,1.978021978021977934e-01
6.715506715506715241e-02,1.978021978021977934e-01
6.715506715506715241e-02,1.996336996336996461e-01
6.776556776556776074e-02,1.996336996336996461e-01
6.776556776556776074e-02,2.032967032967032961e-01
6.837606837606838295e-02,2.032967032967032961e-01
6.837606837606838295e-02,2.106227106227106238e-01
7.020757020757020794e-02,2.106227106227106238e-01
7.020757020757020794e-02,2.161172161172161266e-01
7.142857142857142461e-02,2.161172161172161266e-01
7.142857142857142461e-02,2.179487179487179516e-01
7.448107448107448014e-02,2.179487179487179516e-01
7.448107448107448014e-02,2.197802197802197766e-01
7.570207570207569681e-02,2.197802197802197766e-01
7.570207570207569681e-02,2.216117216117216016e-01
7.631257631257631902e-02,2.216117216117216016e-01
7.631257631257631902e-02,2.234432234432234543e-01
7.692307692307692735e-02,2.234432234432234543e-01
7.692307692307692735e-02,2.307692307692307820e-01
7.814407814407814401e-02,2.307692307692307820e-01
7.814407814407814401e-02,2.326007326007326070e-01
7.875457875457875234e-02,2.326007326007326070e-01
7.875457875457875234e-02,2.344322344322344320e-01
7.997557997557996901e-02,2.344322344322344320e-01
7.997557997557996901e-02,2.380952380952380820e-01
8.119658119658119955e-02,2.380952380952380820e-01
8.119658119658119955e-02,2.435897435897435848e-01
8.241758241758241621e-02,2.435897435897435848e-01
8.241758241758241621e-02,2.454212454212454098e-01
8.363858363858363287e-02,2.454212454212454098e-01
8.363858363858363287e-02,2.490842490842490875e-01
8.485958485958486341e-02,2.490842490842490875e-01
8.485958485958486341e-02,2.527472527472527375e-01
8.730158730158729674e-02,2.527472527472527375e-01
8.730158730158729674e-02,2.545787545787545625e-01
8.791208791208791895e-02,2.545787545787545625e-01
8.791208791208791895e-02,2.582417582417582680e-01
8.852258852258852728e-02,2.582417582417582680e-01
8.852258852258852728e-02,2.600732600732600930e-01
8.913308913308913561e-02,2.600732600732600930e-01
8.913308913308913561e-02,2.619047619047619180e-01
9.279609279609279948e-02,2.619047619047619180e-01
9.279609279609279948e-02,2.655677655677655680e-01
